"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","OPT_roc_Loo_multi","OPT_roc_Loo","OPT_roc_KNN_log_N_P","OPT_roc_KNN_log_N_P_diff_net","OPT_roc_KNN_5_sqrt_N","OPT_roc_KNN_5_sqrt_N_diff_net","OPT_roc_optics_k_mean","OPT_roc_optics_k_mean_diff_net","OPT_roc_optics_k_5","OPT_roc_optics_k_5_diff_net","OPT_roc_optics_sqrt_n","OPT_roc_optics_sqrt_n_diff_net","OPT_roc_OTS","OPT_roc_OTS_diff_net","OPT_roc_OTS_cosine","OPT_roc_OTS_diff_net_cosine","OPT_roc_OTS_cosine_med","OPT_roc_OTS_euc_med","OPT_roc_OTS_glob_avg_OTS","OPT_roc_spoutlier","OPT_roc_spoutlier_diff_net","OPT_roc_spoutlier_diff_net_norm","OPT_DPCC","OPT_roc_cook_max","OPT_roc_cook_max_diff_net","OPT_roc_cook_avg","OPT_roc_cook_avg_diff_net","OPT_roc_cook_med","OPT_roc_cook_med_diff_net"
"1",100,1,2,0,0.1,1.1,3,0.27535,0.00406649226931316,0.31830161508684,0.00321516782916,2.54316285722089,0.0256885137093019,1.11968106376517,1.11968106376517,1.14670450484347,1.14670450484347,1.0382930807155,1.0382930807155,0.0698799325174067,0.000866813891434448,NA,NA,NA,0.0488995453571844,NA,0.0792509205719064,0.00100098264791942,0.0850047146572106,0.40484522829262,0.00302461530273045,0.00302461530273045,0.00302461530273045,0.00302461530273045,0.00302461530273045,0.00302461530273045
"2",500,1,2,0,0.1,1.1,3,0.2279,0.00319437900313804,3.75264754186807,0.00752033575524663,115.479782682338,0.231422410185046,0.719028252792492,0.719028252792492,1.05393522093597,1.05393522093597,1.35014219962539,1.35014219962539,0.804851757613859,0.000462590907777545,NA,NA,NA,0.959038760293806,NA,0.593178053962617,0.00234455470910472,1.06465088453381,1.59451595955889,0.00921545769533766,0.00921545769533766,0.00921545769533766,0.00921545769533766,0.00921545769533766,0.00921545769533766
"3",1000,1,2,0,0.1,1.1,3,0.362,0.000186166249910732,0.0620431170008153,6.21052222230384e-05,4.74860710008216,0.0047533604605427,0.887014035894532,0.887014035894534,1.01550342253013,1.01550342253013,1.00381572600565,1.00381572600565,0.0471392176623019,6.43852338758842e-05,NA,NA,NA,0.0142339399955432,NA,0.0411530007579841,4.78978239207284e-05,0.026501336765719,0.18685546363587,6.69079301892403e-05,6.69079301892403e-05,6.69079301892403e-05,6.69079301892403e-05,6.69079301892403e-05,6.69079301892403e-05
"4",100,5,2,0,0.1,1.1,3,0.23325,0.00264452926359283,0.284102690626045,0.00286972414773783,2.47524092519048,0.0250024335877826,0.87477651206653,0.87477651206653,1.24039510444336,1.24039510444336,1.01704372625988,1.01704372625988,0.0870737850997843,0.000505035937918903,NA,NA,NA,0.53648735634466,NA,0.2161326820268,0.00091706753651078,1.16618251581008,0.262036641683125,0.00140263105019126,0.00140263105019126,0.00140263105019126,0.00140263105019126,0.00140263105019126,0.00140263105019126
"5",500,5,2,0,0.1,1.1,3,0.4197,0.000154949587288906,0.0999826531016687,0.000200366038279897,2.54178300186269,0.00509375351074687,1.7285806475172,1.72858064751721,1.29408687299968,1.29408687299969,0.973740008523005,0.973740008523005,0.0394061013185463,9.75381972347748e-05,NA,NA,NA,0.0496959163916876,NA,0.0173203341412613,3.59591280866996e-05,0.0557823182583415,0.0780854860559348,1.77851364713317e-05,1.77851364713317e-05,1.77851364713317e-05,1.77851364713317e-05,1.77851364713317e-05,1.77851364713317e-05
"6",1000,5,2,0,0.1,1.1,3,0.3421,0.00025673624942452,0.0255980245045238,2.56236481526763e-05,4.55007339447407,0.00455462802249657,1.06431716308117,1.06431716308118,1.11558066204356,1.11558066204356,1.04305834936234,1.04305834936234,0.0195563672429515,3.83489082754797e-05,NA,NA,NA,0.056777352567745,NA,0.0287474731141502,6.25840176433703e-05,0.151359466180265,0.257587112347631,0.000120148843429804,0.000120148843429804,0.000120148843429804,0.000120148843429804,0.000120148843429804,0.000120148843429804
"7",100,10,2,0,0.1,1.1,3,0.38205,0.00116574129475481,0.202179472503052,0.00204221689397022,2.48870060641168,0.0251383899637544,1.12896277038776,1.12896277038776,0.911385669682472,0.911385669682472,1.07879782899848,1.07879782899848,0.0132190743146864,0.000145353745025435,NA,NA,NA,0.0263464627528114,NA,0.0855242695912092,0.000271019404989921,0.0399399369506059,0.116868615056348,0.000157992933798748,0.000157992933798748,0.000157992933798748,0.000157992933798748,0.000157992933798748,0.000157992933798748
"8",500,10,2,0,0.1,1.1,3,0.11685,0.001883916506026,0.350409978141236,0.000702224405092659,10.9985458060223,0.0220411739599644,1.19143204084511,1.19143204084511,1.11269502177016,1.11269502177017,0.988771051473092,0.988771051473092,0.210659166967013,3.68287344819536e-05,NA,NA,NA,0.0377354506735754,NA,0.14102477942453,3.09248448109173e-05,0.0409712407601835,0.950234704624809,0.0021844951491925,0.0021844951491925,0.0021844951491925,0.0021844951491925,0.0021844951491925,0.0021844951491925
"9",1000,10,2,0,0.1,1.1,3,0.0862,0.00121993976519501,0.277575817747227,0.000277853671418644,23.7477818647255,0.0237715534181437,1.16523806617916,1.16523806617915,1.44161102554068,1.44161102554068,1.09627519251857,1.09627519251857,0.0748987465172546,2.90625531334356e-05,NA,NA,NA,0.0424769600066959,NA,0.0294964824323795,0.000286122023240022,0.058449167718232,1.22155871148773,0.00161068249417296,0.00161068249417296,0.00161068249417296,0.00161068249417296,0.00161068249417296,0.00161068249417296
"10",100,1,5,0,0.1,1.1,3,0.1271,0.0383441079407284,53.6481819406372,0.541900827683204,49.9249192758477,0.504292113897452,1.00726264433547,1.00726264433547,1.17680165069351,1.17680165069351,1.09904364508364,1.09904364508364,1.26596895039046,0.00860733398036932,0.619687055922653,0.568974650165314,0.65735460275123,1.03205116920373,0.288011531737391,1.31914872103875,0.0101517255142471,1.26658758102481,NA,0.00275562565091114,0.00275562565091114,0.0011011400424587,0.0011011400424587,0.000871229979118179,0.00087122997911818
"11",500,1,5,0,0.1,1.1,3,0.13645,0.00857350748750868,37.6155975940839,0.0753819591063806,260.59010450237,0.522224658321383,1.04390646828091,1.04390646828091,1.06457934061245,1.06457934061245,1.13711715780463,1.13711715780463,1.22466824605421,0.00286651931830885,0.837024895650563,0.675362245184491,0.719538086983073,1.32375173273846,0.219091992250257,1.36392770923297,0.00262211430051973,1.41649022634994,NA,0.000819786127396414,0.000819786127396413,0.000284615153200009,0.000284615153200009,0.000165087877381404,0.000165087877381404
"12",1000,1,5,0,0.1,1.1,3,0.24895,0.00537401045763201,44.9338398432798,0.0449788186619418,624.273626986269,0.624898525511781,1.00542866053836,1.00542866053836,1.08811159673579,1.08811159673579,1.23114150925453,1.23114150925453,2.08584093947312,0.00150566767523611,0.625501429731662,0.530398645227814,0.664242915138495,1.57802509398312,0.314461946551322,2.040283083865,0.00154692617279211,1.17450316775907,NA,0.000664304475816763,0.000664304475816763,0.000246754603078015,0.000246754603078015,0.000210030342987124,0.000210030342987124
"13",100,5,5,0,0.1,1.1,3,0.23005,0.0255171809090147,44.2892076841298,0.447365734183129,50.7444840872461,0.51257054633582,0.902171546517979,0.902171546517979,1.30392519874371,1.30392519874371,0.981207726480792,0.981207726480792,1.15284787599794,0.00796687192001425,0.915160444229212,0.74050202595686,0.701211858102081,0.937275424749481,0.216727324051809,0.914677229416258,0.0195399476777221,0.806265457434401,NA,0.0287828365907669,0.0287828365907669,0.000405706597672238,0.000405706597672238,0.000129682266722639,0.000129682266722639
"14",500,5,5,0,0.1,1.1,3,0.0522,0.0110078401964457,57.3571813475772,0.114944251197549,405.841847885971,0.813310316404751,1.02899811631179,1.02899811631179,1.22095999209895,1.22095999209895,1.32898686750433,1.32898686750433,2.18050625159159,0.00408013591218636,0.670824677558454,0.771441683179614,0.786184674195402,1.99634465823042,0.181170384629266,2.23734280865683,0.00409179536472392,2.40267944098297,NA,0.00240496717472243,0.00240496717472244,0.000627515607398881,0.000627515607398881,5.91187242682384e-05,5.91187242682384e-05
"15",1000,5,5,0,0.1,1.1,3,0.18445,0.00392141161324835,40.7179955925534,0.0407587543469003,568.290663172244,0.568859522694939,1.04650075885181,1.04650075885181,1.12518693301372,1.12518693301372,1.24274857522278,1.24274857522278,1.31710054107881,0.00139832679397857,0.734903687571496,0.68369315025726,0.584641198766262,1.52725111078106,0.291448605948802,1.64217100680265,0.00132949371380658,1.61672835396533,NA,0.000577707147352946,0.000577707147352946,0.000199319401959376,0.000199319401959376,0.000175253442029205,0.000175253442029205
"16",100,10,5,0,0.1,1.1,3,0.0814,0.0689307951415898,80.923135948211,0.817405413618293,74.6881973484429,0.754426235842857,1.11927183696761,1.11927183696761,1.15193527474015,1.15193527474015,1.38157537063165,1.38157537063165,2.18481439498957,0.0174457805617044,0.516504934132479,0.767710045420771,0.791285756953013,2.08611674034091,0.176837590817081,1.74750987478965,0.027124493867783,1.76820539469672,NA,0.0647155311514577,0.0647155311514577,0.0227587065028651,0.0227587065028651,0.011928721031385,0.011928721031385
"17",500,10,5,0,0.1,1.1,3,0.37015,0.00578231474722387,26.7347101590134,0.0535765734649567,278.698886574771,0.558514802755051,1.11742175599316,1.11742175599316,1.09993941260937,1.09993941260937,0.994588166689718,0.994588166689718,0.844473038705072,0.00344937923037622,0.719272262879698,0.657162331834782,0.72074007875888,1.58033090722713,0.226937160665688,0.726977939943138,0.00268696827387478,0.980685020448498,NA,0.00045902613783298,0.000459026137832979,0.00017133064192397,0.00017133064192397,0.000104653355989479,0.000104653355989479
"18",1000,10,5,0,0.1,1.1,3,0.01925,0.00420572459236377,92.7739492944699,0.0928668161105805,1068.58077876667,1.06965042919586,1.12134720133398,1.12134720133399,1.0256093896821,1.0256093896821,1.36604402367886,1.36604402367886,1.46166074882039,0.00263069130553194,0.597020916454196,0.593526705132718,0.712946448338161,2.57761559842694,0.328434760592553,2.43871103074255,0.00202230489158681,3.2815079771716,NA,0.000233454468267212,0.000233454468267212,0.000196454803410868,0.000196454803410868,0.000103483261189437,0.000103483261189437
"19",100,1,11,0,0.1,1.1,3,0.01195,0.397884447042792,10492.2062819072,105.981881635426,358.614716579704,3.62237087454247,1.02486020197539,1.02486020197539,1.16640861342438,1.16640861342438,1.11624793180458,1.11624793180458,7.79898552786668,0.0800537955062511,0.255725893944315,0.157892150204529,0.312363800928676,7.9208860848139,0.490347751588729,7.71468063665872,0.0809393739839695,8.09027762480294,NA,0.504455200210966,0.504455200210967,0.126012278566974,0.126012278566974,0.0563550055536546,0.056355005553655
"20",500,1,11,0,0.1,1.1,3,0.0678,0.0551261289906411,7282.13946958488,14.5934658709116,1407.39431848285,2.82042949595762,1.07132729823165,1.07132729823165,1.236044570155,1.236044570155,1.11572810179527,1.11572810179527,6.10729003634752,0.0129171259862166,0.248658796745875,0.223215905569133,0.223267964761872,6.23380374923393,0.522754919547595,6.18410785306866,0.0113972398440688,5.94455096848654,NA,0.0264687118826311,0.0264687118826311,0.00255605848932034,0.00255605848932034,0.00035690746557231,0.000356907465572309
"21",1000,1,11,0,0.1,1.1,3,0.03285,0.0501950183907041,10972.9036848117,10.9838875723841,4321.22439717548,4.3255499471226,1.21134506196721,1.21134506196721,1.3473601784914,1.3473601784914,1.2048752023973,1.2048752023973,9.20245446974284,0.00914487917957938,0.386568611652794,0.280334632356966,0.294606463573457,9.53898892998115,0.489522579369965,8.93390380350139,0.00977194911545817,9.10332664448076,NA,0.13771880596129,0.137718805961291,0.0177488089746858,0.0177488089746858,0.00361843226885963,0.00361843226885964
"22",100,5,11,0,0.1,1.1,3,0.03665,0.347722354862338,7792.82055772102,78.7153591688992,248.762378468535,2.51275129766197,1.01633909716728,1.01633909716728,1.02314135482756,1.02314135482756,1.07131100821862,1.07131100821862,5.42876125825316,0.114761555116476,0.174729034211291,0.214623094273798,0.224079381475606,5.64653970376521,0.35286349429835,11.5538796439397,0.0496024747435361,5.90963684059959,NA,0.079716470780837,0.079716470780837,0.0292322573521146,0.0292322573521146,0.00852671049106812,0.00852671049106812
"23",500,5,11,0,0.1,1.1,3,0.0664,0.0628689192113073,8019.16897839176,16.0704789146127,1529.28251368791,3.06469441620823,1.06435282347506,1.06435282347506,1.32791229509004,1.32791229509004,1.18155621209424,1.18155621209424,6.56680261290214,0.0135058873936275,0.299260359778708,0.276757339372886,0.398403358131546,6.72288023245461,0.275944024093454,6.49551745863803,0.0138165790730297,6.77584510636794,NA,0.00265823508064016,0.00265823508064017,0.00273499384605857,0.00273499384605857,0.000933148522517922,0.000933148522517921
"24",1000,5,11,0,0.1,1.1,3,0.00765,0.0277643842577966,9656.60644812847,9.66627272084932,3797.46329257345,3.80126455713058,1.34506319451822,1.34506319451822,1.53273829295518,1.53273829295518,1.33787913916156,1.33787913916156,6.82818780277161,0.0066345325079622,0.414847000127846,0.379805066362146,0.286446378191311,8.3619097281791,0.396213156519631,8.22483630550775,0.00838549500140816,8.5264372872077,NA,0.0188310258172882,0.0188310258172882,0.00193809652733471,0.00193809652733471,7.61407663527339e-05,7.61407663527338e-05
"25",100,10,11,0,0.1,1.1,3,0.0608,0.327133567780913,9407.45352680514,95.0247830990418,321.25910660633,3.24504148087202,0.994484632264343,0.994484632264342,1.05029247797056,1.05029247797056,0.981718966288168,0.981718966288168,4.77172660963385,0.0781452106720461,0.323538618885858,0.307380468579636,0.344871993239775,4.75746049128634,0.380056794271986,6.95015692942671,0.0547795531630408,5.99551495111767,NA,0.253661975995429,0.25366197599543,0.0508131471903677,0.0508131471903677,0.0176215266709396,0.0176215266709397
"26",500,10,11,0,0.1,1.1,3,0.04515,0.0565539265374434,11960.0933696171,23.9681229852047,1491.31326093527,2.98860372932921,1.07789719699545,1.07789719699545,1.24907258705111,1.24907258705111,1.22379763279555,1.22379763279555,8.66980517693677,0.0134472875582861,0.298134891378432,0.158367823998476,0.318698446323506,8.82378667663988,0.380790539455411,5.74994232208456,0.0126264420808411,6.33389127044906,NA,0.00895626817138661,0.00895626817138661,0.00172223224482555,0.00172223224482555,0.000387850524914713,0.000387850524914712
"27",1000,10,11,0,0.1,1.1,3,0.01825,0.0299951963209198,6882.31843009235,6.88920763773008,2679.30082852856,2.6819828113399,1.13042414793281,1.13042414793281,1.27306502331308,1.27306502331308,1.12438649134659,1.12438649134659,6.97755619144612,0.00611031262451704,0.176738009364792,0.390916372625314,0.391086900724464,6.07261202299089,0.309208864571422,6.25604738262563,0.00672835128827448,6.21080238792681,NA,0.00762433396268779,0.00762433396268779,0.000720695569778697,0.000720695569778696,0.000197677582089978,0.000197677582089979
"28",100,1,17,0,0.1,1.1,3,0.04705,0.688148813179348,12802.3089475532,129.316251995487,409.076102599945,4.13208184444389,0.987259417585774,0.987259417585773,1.04187031269028,1.04187031269028,1.0026606013344,1.0026606013344,8.92119066283997,0.0868654967723695,0.262611660039209,0.189820755380442,0.322677438488686,9.00137833143016,0.306908912190294,7.66570424157761,0.088901893043269,7.75785332730712,NA,NA,NA,NA,NA,NA,NA
"29",500,1,17,0,0.1,1.1,3,0.02415,0.164508158941509,14154.8155086613,28.3663637448123,2767.3492645497,5.54579010931803,1.00972489266155,1.00972489266155,1.19298386780005,1.19298386780005,1.05622278097853,1.05622278097853,11.3315024285529,0.0227390899917032,0.332637376735317,0.367703708231696,0.178942637863142,11.6730528740287,0.483958379259902,12.0127751194096,0.0229326500246805,11.4223869091687,NA,0.0462317036982313,0.0462317036982313,0.00595854672930612,0.00595854672930612,0.00238635786429902,0.00238635786429902
"30",1000,1,17,0,0.1,1.1,3,0.0249,0.0804892058584842,12515.8597818006,12.5283881699706,4933.81720408925,4.9387559600493,1.01411975761076,1.01411975761076,1.25069225120193,1.25069225120193,1.05463705730388,1.05463705730388,9.4250429110967,0.0101063884921153,0.145663691919787,0.161348830837679,0.202736198208797,10.9633076517143,0.404660265936469,11.0782085847597,0.0102029831330531,11.1726352374841,NA,0.0121907701583332,0.0121907701583332,0.00117940322116668,0.00117940322116668,0.000431574195520457,0.000431574195520458
"31",100,5,17,0,0.1,1.1,3,0.01055,0.860658692231727,17643.7121215689,178.219314359282,606.055444004798,6.12177216166463,0.99167746911656,0.99167746911656,1.14046167722942,1.14046167722942,1.00876936303907,1.00876936303907,13.2670833845487,0.118549413193397,0.265450161769779,0.220797523486313,0.181888341285884,11.9818711265988,0.493190585902139,13.6723370908416,0.114523294632015,13.3095066463797,NA,NA,NA,NA,NA,NA,NA
"32",500,5,17,0,0.1,1.1,3,0.00795,0.195277996006002,17919.8165641855,35.9114560404519,3503.76486247924,7.02157287069988,1.03977172847255,1.03977172847255,1.30103438198463,1.30103438198463,1.17882877373777,1.17882877373777,14.7973675250689,0.0297873142212303,0.264847110392295,0.272940180536497,0.23964687993739,14.9239601741344,0.281077813482574,14.9641614091769,0.0302505107245736,12.8837339620345,NA,0.203421383725668,0.203421383725668,0.00916364913982517,0.00916364913982517,0.00228089939396381,0.00228089939396381
"33",1000,5,17,0,0.1,1.1,3,0.0447,0.043711753522437,8689.23647709668,8.69793441150819,3401.9249338644,3.40533026412853,0.990106763883421,0.990106763883421,1.063724495951,1.063724495951,0.997185532925674,0.997185532925674,8.34230089033984,0.0068647550013414,0.240741814462784,0.212102984235628,0.225998202380984,7.3983716927203,0.307400334416868,7.79599988975282,0.0078636005161129,8.49923942036417,NA,0.00227895187515639,0.00227895187515639,0.000154987201013669,0.000154987201013669,2.88767272812542e-05,2.88767272812544e-05
"34",100,10,17,0,0.1,1.1,3,0.0271,0.939408235883094,12490.8853485031,126.170559075789,402.216453134519,4.06279245590424,0.983427792021646,0.983427792021646,1.01926599746503,1.01926599746503,0.935520663970103,0.935520663970103,8.71234675650068,0.0813734770887092,0.432897759082613,0.164415506558506,0.174151011311252,8.64677751139178,0.245420957766694,9.25489399949029,0.0835174445064772,8.64418063132864,NA,NA,NA,NA,NA,NA,NA
"35",500,10,17,0,0.1,1.1,3,0.0173,0.164473032396639,10978.4638809087,22.0009296210596,2123.68367685747,4.25587911193882,1.01462626217865,1.01462626217865,1.32280300962389,1.32280300962389,1.14260680618913,1.14260680618913,9.33569062691973,0.0184106959640303,0.209815942521912,0.270224503631895,0.284701741169927,9.08090638921455,0.573459824157142,11.2874373193882,0.0228331514877601,8.7715062648335,NA,0.10153398306587,0.10153398306587,0.00236268468986352,0.00236268468986352,0.00123370197071377,0.00123370197071376
"36",1000,10,17,0,0.1,1.1,3,0.0171,0.0840399589382504,9649.99699709997,9.65965665375372,3782.96214395426,3.78674889284711,1.01040720381807,1.01040720381807,1.24828310133145,1.24828310133145,1.03200244043561,1.03200244043561,8.06930959265411,0.00750556544753973,0.230852856855348,0.225037072941109,0.176607663991951,8.34765934461898,0.210507898330703,9.69974680237966,0.00910374327639519,8.35252040288729,NA,0.00660509814749146,0.00660509814749144,0.00158583059189496,0.00158583059189496,0.0002228766307505,0.000222876630750501
"37",100,1,2,1,0.1,1.1,3,0.37905,0.00169766962771277,0.0293314125378882,0.000296276894322104,0.631385742197245,0.00637763375956813,1.5562267985227,1.5562267985227,1.14207851623352,1.14207851623352,1.10749018718811,1.10749018718811,0.0586506709302754,7.90407960106696e-05,NA,NA,NA,0.00503193468751501,NA,0.0051712127492604,5.95777038023132e-05,0.0372458845974443,0.16890015364365,0.000794456965520828,0.000794456965520828,0.000794456965520828,0.000794456965520828,0.000794456965520828,0.000794456965520828
"38",500,1,2,1,0.1,1.1,3,0.12915,0.00169437236403461,0.265112198001666,0.000531286969943217,8.86068693421389,0.0177568876437152,0.955900149025926,0.955900149025928,1.23150200920758,1.23150200920758,0.982391180569275,0.982391180569275,0.194875939069555,0.000120622046459857,NA,NA,NA,0.0898816703591017,NA,0.130414729790151,0.0002592709498089,0.193231853230183,0.857148678983459,0.001436413236893,0.001436413236893,0.001436413236893,0.001436413236893,0.001436413236893,0.001436413236893
