"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","roc_cook_avg_diff_net_high","roc_cook_avg_diff_net_low","roc_cook_avg_high","roc_cook_avg_low","roc_cook_max_diff_net_high","roc_cook_max_diff_net_low","roc_cook_max_high","roc_cook_max_low","roc_cook_med_diff_net_high","roc_cook_med_diff_net_low","roc_cook_med_high","roc_cook_med_low","roc_DPCC_high","roc_DPCC_low","roc_KNN_5_sqrt_N_diff_net_high","roc_KNN_5_sqrt_N_diff_net_low","roc_KNN_5_sqrt_N_high","roc_KNN_5_sqrt_N_low","roc_KNN_log_N_P_diff_net_high","roc_KNN_log_N_P_diff_net_low","roc_KNN_log_N_P_high","roc_KNN_log_N_P_low","roc_Loo_high","roc_Loo_low","roc_Loo_multi_high","roc_Loo_multi_low","roc_optics_k_5_diff_net_high","roc_optics_k_5_diff_net_low","roc_optics_k_5_high","roc_optics_k_5_low","roc_optics_k_mean_diff_net_high","roc_optics_k_mean_diff_net_low","roc_optics_k_mean_high","roc_optics_k_mean_low","roc_optics_sqrt_n_diff_net_high","roc_optics_sqrt_n_diff_net_low","roc_optics_sqrt_n_high","roc_optics_sqrt_n_low","roc_OTS_cosine_high","roc_OTS_cosine_low","roc_OTS_cosine_med_high","roc_OTS_cosine_med_low","roc_OTS_diff_net_cosine_high","roc_OTS_diff_net_cosine_low","roc_OTS_diff_net_high","roc_OTS_diff_net_low","roc_OTS_euc_med_high","roc_OTS_euc_med_low","roc_OTS_glob_avg_OTS_high","roc_OTS_glob_avg_OTS_low","roc_OTS_high","roc_OTS_low","roc_spoutlier_diff_net_high","roc_spoutlier_diff_net_low","roc_spoutlier_diff_net_norm_high","roc_spoutlier_diff_net_norm_low","roc_spoutlier_high","roc_spoutlier_low"
"1",100,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",500,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1000,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",100,5,2,0,0.1,1.1,3,0.509111570301267,1.01509895601452,0.503560724622542,1.01643927537746,0.487795872728586,1.01115149569247,0.487795872728586,1.01115149569247,0.437466358344431,0.998323115339779,0.437466358344431,0.998323115339779,0.0883141670877869,0.749580569754318,0.0883141670877869,0.749580569754318,0.291233198138275,0.795082591335409,0.291233198138275,0.795082591335409,0.388840649651684,0.779580402979896,0.388840649651684,0.779580402979896,0.394514699798605,0.921274773885605,0.52440967246825,0.909274538058066,NA,NA,NA,NA,NA,NA,0.517777490433026,0.958011983251184,NA,NA,0.461850342664593,1.03709702575646,0.442241700490951,1.02512672056168,0.658081948518768,0.933496998849653,0.503560724622542,1.01643927537746,0.503560724622542,1.01643927537746,0.503560724622542,1.01643927537746,0.503560724622542,1.01643927537746,0.503560724622542,1.01643927537746,0.503560724622542,1.01643927537746,0.503560724622542,1.01643927537746
"5",500,5,2,0,0.1,1.1,3,0.149581915599029,0.765165559148446,0.14759938885368,0.764723843469553,0.118288448869374,0.763327712746787,0.118288448869374,0.763327712746787,0.100608265052252,0.723634159190172,0.100608265052252,0.723634159190172,0.15900633425258,0.328266393020147,0.15900633425258,0.328266393020147,0.0315507865272369,0.382994668018218,0.0315507865272369,0.382994668018218,0.172427602253641,0.632420882594843,0.172427602253641,0.632420882594843,0.242137531285374,0.58210489295705,0.108881671543236,0.77758297492141,NA,NA,NA,NA,NA,NA,0.130433940391963,0.708353938395916,NA,NA,0.0165171409590149,0.75843235399048,0.175041819259816,0.586170301952305,0.226987890688289,0.746749483049085,0.14759938885368,0.764723843469553,0.147485173752805,0.765646139378509,0.147485173752805,0.765646139378509,0.147485173752805,0.765646139378509,0.147485173752805,0.765646139378509,0.147485173752805,0.765646139378509,0.147485173752805,0.765646139378509
"6",1000,5,2,0,0.1,1.1,3,0.431543131452704,0.827753350959356,0.432326833028254,0.827572664459183,0.338583874613348,0.842923663075094,0.338583874613348,0.842923663075094,0.359310516332717,0.851945765074318,0.359310516332717,0.851945765074318,0.134173767163966,0.575976986604879,0.134173767163966,0.575976986604879,0.0921773269043782,0.661591517316727,0.0921773269043782,0.661591517316727,0.102171860336229,0.814009044186384,0.102171860336229,0.814009044186384,0.28427123814929,0.726382028182369,0.154962915241712,0.676795878728137,NA,NA,NA,NA,NA,NA,0.339903780483792,0.877583656702138,NA,NA,0.205505529026183,0.757710551375827,0.269787305756853,0.869710181680333,0.22125873606824,0.733515133278494,0.432326833028254,0.827572664459183,0.432326833028254,0.827572664459183,0.432326833028254,0.827572664459183,0.432326833028254,0.827572664459183,0.432326833028254,0.827572664459183,0.432326833028254,0.827572664459183,0.432326833028254,0.827572664459183
"7",100,10,2,0,0.1,1.1,3,0.260597555490569,0.586069111176098,0.262149385585061,0.586739503303828,0.222024713663872,0.632419730780572,0.222024713663872,0.632419730780572,0.234483853025588,0.596627258085523,0.234483853025588,0.596627258085523,0.395516174292561,0.822261603485217,0.395516174292561,0.822261603485217,0.177842301778004,0.462157698221996,0.177842301778004,0.462157698221996,0.305272328941308,0.633616559947581,0.305272328941308,0.633616559947581,0.281999543262214,0.615778234515564,0.311875459771809,0.693680095783746,NA,NA,NA,NA,NA,NA,0.398532445213736,0.704800888119597,NA,NA,0.364694072294033,0.794194816594855,0.275496032493759,0.607837300839574,0.253788117918134,0.561767437637422,0.262149385585061,0.586739503303828,0.260597555490569,0.586069111176098,0.260597555490569,0.586069111176098,0.260597555490569,0.586069111176098,0.260597555490569,0.586069111176098,0.260597555490569,0.586069111176098,0.260597555490569,0.586069111176098
"8",500,10,2,0,0.1,1.1,3,0.314732023738387,0.626492466057531,0.313984523654256,0.62642363961105,0.415574286470686,0.715854284957885,0.415574286470686,0.715854284957885,0.346341253935478,0.663454664431869,0.346341253935478,0.663454664431869,0.394330626042015,0.753832639264107,0.394330626042015,0.753832639264107,0.358272227207234,0.718258385037664,0.358272227207234,0.718258385037664,0.134634217822822,0.526998435238402,0.134634217822822,0.526998435238402,0.2082922263784,0.623952671580783,0.204528155553432,0.611186130160853,NA,NA,NA,NA,NA,NA,0.30414505264394,0.630140661641774,NA,NA,0.223423304296315,0.617801185499604,0.351903919218019,0.644830774659532,0.187273151473843,0.598645215873095,0.313984523654256,0.62642363961105,0.313984523654256,0.62642363961105,0.313984523654256,0.62642363961105,0.313984523654256,0.62642363961105,0.313984523654256,0.62642363961105,0.313984523654256,0.62642363961105,0.313984523654256,0.62642363961105
"9",1000,10,2,0,0.1,1.1,3,0.393868556745841,0.729262756385472,0.395672016634797,0.729378488415708,0.47357690957032,0.712079656086245,0.47357690957032,0.712079656086245,0.419316883350735,0.726945742911891,0.419316883350735,0.726945742911891,0.26951072439743,0.696953922067217,0.26951072439743,0.696953922067217,0.268316914458909,0.621683085541091,0.268316914458909,0.621683085541091,0.296358623076368,0.630005013287268,0.296358623076368,0.630005013287268,0.334234877005713,0.579906537135702,0.294288934805764,0.596620156103327,NA,NA,NA,NA,NA,NA,0.437135627270265,0.734379524244887,NA,NA,0.327879121607421,0.681413807685508,0.368459681974215,0.709318095803562,0.387061606854687,0.673342433549354,0.395672016634797,0.729378488415708,0.395672016634797,0.729378488415708,0.395672016634797,0.729378488415708,0.395672016634797,0.729378488415708,0.395672016634797,0.729378488415708,0.395672016634797,0.729378488415708,0.395672016634797,0.729378488415708
"10",100,1,5,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
