"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.919191919191919,0.919191919191919,0.952020202020202,0.952020202020202,0.924242424242424,0.924242424242424,0.898989898989899,0.898989898989899,0.883838383838384,0.883838383838384,0.974747474747475,0.974747474747475,0.888888888888889,0.934343434343434,NA,NA,NA,0.957070707070707,NA,0.858585858585859,0.954545454545455,0.934343434343434,0.919191919191919,0.919191919191919,0.919191919191919,0.919191919191919,0.919191919191919,0.919191919191919,0.919191919191919
"2",500,1,2,0,0.1,1.1,3,0.422845691382766,0.422845691382766,0.6312625250501,0.6312625250501,0.570140280561122,0.570140280561122,0.158316633266533,0.158316633266533,0.314629258517034,0.314629258517034,0.748496993987976,0.748496993987976,0.554108216432866,0.301102204408818,NA,NA,NA,0.405811623246493,NA,0.562124248496994,0.460921843687375,0.433867735470942,0.422845691382766,0.422845691382766,0.422845691382766,0.422845691382766,0.422845691382766,0.422845691382766,0.422845691382766
"3",1000,1,2,0,0.1,1.1,3,0.347847847847848,0.354354354354354,0.471971971971972,0.471971971971972,0.379379379379379,0.379379379379379,0.674174174174174,0.674174174174174,0.691691691691692,0.691691691691692,0.397397397397397,0.397397397397397,0.31981981981982,0.453453453453453,NA,NA,NA,0.338588588588589,NA,0.272772772772773,0.536536536536537,0.354354354354354,0.354354354354354,0.354354354354354,0.354354354354354,0.354354354354354,0.354354354354354,0.354354354354354,0.354354354354354
"4",100,5,2,0,0.1,1.1,3,0.62,0.623157894736842,0.536315789473684,0.536315789473684,0.576842105263158,0.576842105263158,0.493684210526316,0.493684210526316,0.478421052631579,0.478421052631579,0.475263157894737,0.475263157894737,0.565789473684211,0.57421052631579,NA,NA,NA,0.489473684210526,NA,0.454210526315789,0.515263157894737,0.474210526315789,0.623157894736842,0.622105263157895,0.622105263157895,0.622105263157895,0.622105263157895,0.622105263157895,0.622105263157895
"5",500,5,2,0,0.1,1.1,3,0.248787878787879,0.246262626262626,0.283434343434343,0.283434343434343,0.257171717171717,0.257171717171717,0.38959595959596,0.38959595959596,0.599393939393939,0.599393939393939,0.412020202020202,0.412020202020202,0.368888888888889,0.273535353535354,NA,NA,NA,0.285050505050505,NA,0.333333333333333,0.355454545454545,0.366262626262626,0.246262626262626,0.246666666666667,0.246666666666667,0.246666666666667,0.246666666666667,0.246666666666667,0.246666666666667
"6",1000,5,2,0,0.1,1.1,3,0.423316582914573,0.42321608040201,0.369547738693467,0.369547738693467,0.375678391959799,0.375678391959799,0.273065326633166,0.273065326633166,0.325879396984925,0.325879396984925,0.401608040201005,0.401608040201005,0.37286432160804,0.560301507537688,NA,NA,NA,0.462562814070352,NA,0.430854271356784,0.422110552763819,0.405427135678392,0.42321608040201,0.42321608040201,0.42321608040201,0.42321608040201,0.42321608040201,0.42321608040201,0.42321608040201
"7",100,10,2,0,0.1,1.1,3,0.529444444444444,0.527222222222222,0.495555555555556,0.495555555555556,0.507777777777778,0.507777777777778,0.478611111111111,0.478611111111111,0.428333333333333,0.428333333333333,0.434166666666667,0.434166666666667,0.518333333333333,0.551666666666667,NA,NA,NA,0.515833333333333,NA,0.580277777777778,0.525277777777778,0.551666666666667,0.527222222222222,0.527777777777778,0.527777777777778,0.527777777777778,0.527777777777778,0.527777777777778,0.527777777777778
"8",500,10,2,0,0.1,1.1,3,0.441377551020408,0.444897959183673,0.459897959183673,0.459897959183673,0.446836734693878,0.446836734693878,0.566683673469388,0.566683673469388,0.451938775510204,0.451938775510204,0.458061224489796,0.458061224489796,0.361428571428571,0.423061224489796,NA,NA,NA,0.388316326530612,NA,0.56765306122449,0.474795918367347,0.429183673469388,0.444897959183673,0.445,0.445,0.445,0.445,0.445,0.445
"9",1000,10,2,0,0.1,1.1,3,0.423661616161616,0.422020202020202,0.466010101010101,0.466010101010101,0.446262626262626,0.446262626262626,0.473611111111111,0.473611111111111,0.415,0.415,0.462020202020202,0.462020202020202,0.425454545454545,0.398131313131313,NA,NA,NA,0.447651515151515,NA,0.507676767676768,0.506515151515151,0.385454545454545,0.422020202020202,0.422020202020202,0.422020202020202,0.422020202020202,0.422020202020202,0.422020202020202,0.422020202020202
"10",100,1,5,0,0.1,1.1,3,0.542929292929293,0.525252525252525,0.464646464646465,0.464646464646465,0.464646464646465,0.464646464646465,0.505050505050505,0.505050505050505,0.343434343434343,0.343434343434343,0.378787878787879,0.378787878787879,0.393939393939394,0.388888888888889,0.222222222222222,0.45959595959596,0.404040404040404,0.338383838383838,0.353535353535354,0.46969696969697,0.44949494949495,0.46969696969697,NA,0.44949494949495,0.44949494949495,0.47979797979798,0.47979797979798,0.51010101010101,0.51010101010101
