"","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)","NA","NA","NA","NA"
"1",100,1,2,TRUE,0.651515151515151,0.651515151515151,0.623737373737374,0.623737373737374,0.661616161616162,0.661616161616162,0.641414141414141,0.641414141414141,0.484848484848485,0.484848484848485,0.547979797979798,0.547979797979798,0.595959595959596,0.621212121212121,0.5,0.5,NA,0.601010101010101,NA,0.565656565656566,0.575757575757576,0.691919191919192,0.651515151515151,0.651515151515151,0.651515151515151,0.651515151515151,0.651515151515151,0.651515151515151,0.651515151515151
"2",500,1,2,TRUE,0.650300601202405,0.649298597194389,0.665330661322645,0.665330661322645,0.648296593186373,0.648296593186373,0.402304609218437,0.402304609218437,0.454909819639279,0.454909819639279,0.708416833667335,0.708416833667335,0.606212424849699,0.640280561122244,0.5,0.5,NA,0.672344689378757,NA,0.657314629258517,0.6312625250501,0.63627254509018,0.649298597194389,0.649298597194389,0.649298597194389,0.649298597194389,0.649298597194389,0.649298597194389,0.649298597194389
"3",1000,1,2,TRUE,0.538788788788789,0.535035035035035,0.562562562562563,0.562562562562563,0.573573573573574,0.573573573573574,0.488488488488488,0.488488488488488,0.533533533533534,0.533533533533534,0.566316316316316,0.566316316316316,0.654154154154154,0.547547547547548,0.5,0.5,NA,0.552052052052052,NA,0.585085085085085,0.607607607607608,0.645645645645646,0.535035035035035,0.535035035035035,0.535035035035035,0.535035035035035,0.535035035035035,0.535035035035035,0.535035035035035
"4",2000,1,2,TRUE,0.51575787893947,0.517008504252126,0.474987493746873,0.474987493746873,0.517008504252126,0.517008504252126,0.398574287143572,0.398574287143572,0.39719859929965,0.39719859929965,0.615807903951976,0.615807903951976,0.536018009004502,0.532266133066533,0.5,0.5,NA,0.50487743871936,NA,0.571785892946473,0.557778889444722,0.577788894447224,0.517008504252126,0.517008504252126,0.517008504252126,0.517008504252126,0.517008504252126,0.517008504252126,0.517008504252126
"5",100,5,2,TRUE,0.566315789473684,0.566315789473684,0.561052631578947,0.561052631578947,0.561052631578947,0.561052631578947,0.498947368421053,0.498947368421053,0.466842105263158,0.466842105263158,0.519473684210526,0.519473684210526,0.571578947368421,0.542105263157895,0.5,0.5,NA,0.54,NA,0.562631578947368,0.531052631578947,0.55578947368421,0.565263157894737,0.565263157894737,0.565263157894737,0.565263157894737,0.565263157894737,0.565263157894737,0.565263157894737
"6",500,5,2,TRUE,0.573333333333333,0.573131313131313,0.582626262626263,0.582626262626263,0.568888888888889,0.568888888888889,0.50959595959596,0.50959595959596,0.515454545454545,0.515454545454545,0.527272727272727,0.527272727272727,0.586969696969697,0.576565656565657,0.5,0.5,NA,0.56040404040404,NA,0.598888888888889,0.587878787878788,0.59030303030303,0.573333333333333,0.573333333333333,0.573333333333333,0.573333333333333,0.573333333333333,0.573333333333333,0.573333333333333
"7",1000,5,2,TRUE,0.584522613065327,0.581909547738694,0.561306532663317,0.561306532663317,0.571155778894472,0.571155778894472,0.439095477386935,0.439095477386935,0.447386934673367,0.447386934673367,0.545929648241206,0.545929648241206,0.563618090452261,0.561005025125628,0.5,0.5,NA,0.565326633165829,NA,0.586030150753769,0.549246231155779,0.585979899497487,0.581608040201005,0.581809045226131,0.581809045226131,0.581809045226131,0.581809045226131,0.581809045226131,0.581809045226131
"8",2000,5,2,TRUE,0.601804511278195,0.601804511278195,0.590225563909774,0.590225563909774,0.603558897243108,0.603558897243108,0.474786967418546,0.474786967418546,0.451654135338346,0.451654135338346,0.561453634085213,0.561453634085213,0.58,0.605363408521303,0.5,0.5,NA,0.608195488721805,NA,0.585062656641604,0.582456140350877,0.575639097744361,0.601804511278195,0.601804511278195,0.601804511278195,0.601804511278195,0.601804511278195,0.601804511278195,0.601804511278195
"9",100,10,2,TRUE,0.585555555555556,0.590555555555556,0.578888888888889,0.578888888888889,0.581666666666667,0.581666666666667,0.500555555555556,0.500555555555556,0.493055555555556,0.493055555555556,0.5625,0.5625,0.580555555555555,0.586944444444444,0.5,0.5,NA,0.5975,NA,0.5875,0.59,0.589722222222222,0.591111111111111,0.591666666666667,0.591666666666667,0.591666666666667,0.591666666666667,0.591666666666667,0.591666666666667
"10",500,10,2,TRUE,0.568112244897959,0.569795918367347,0.571632653061224,0.571632653061224,0.571224489795918,0.571224489795918,0.483775510204082,0.483775510204082,0.48969387755102,0.48969387755102,0.556734693877551,0.556734693877551,0.567244897959184,0.574336734693877,0.5,0.5,NA,0.575867346938776,NA,0.57765306122449,0.569285714285714,0.566530612244898,0.569897959183673,0.569795918367347,0.569795918367347,0.569795918367347,0.569795918367347,0.569795918367347,0.569795918367347
