"","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)","NA","NA","NA","NA"
"1",100,1,2,TRUE,0.611111111111111,0.621212121212121,0.608585858585859,0.608585858585859,0.626262626262626,0.626262626262626,0.527777777777778,0.527777777777778,0.348484848484849,0.348484848484849,0.537878787878788,0.537878787878788,0.515151515151515,0.621212121212121,0.5,0.5,NA,0.560606060606061,NA,0.54040404040404,0.661616161616162,0.704545454545455,0.616161616161616,0.616161616161616,0.616161616161616,0.616161616161616,0.616161616161616,0.616161616161616,0.616161616161616
"2",500,1,2,TRUE,0.798597194388778,0.80060120240481,0.768537074148297,0.768537074148297,0.774549098196393,0.774549098196393,0.402304609218437,0.402304609218437,0.503006012024048,0.503006012024048,0.693386773547094,0.693386773547094,0.748496993987976,0.665831663326653,0.5,0.5,NA,0.761022044088176,NA,0.769539078156313,0.759519038076152,0.854709418837675,0.801603206412826,0.80060120240481,0.80060120240481,0.80060120240481,0.80060120240481,0.80060120240481,0.80060120240481
"3",1000,1,2,TRUE,0.651651651651652,0.653653653653654,0.574574574574575,0.574574574574575,0.659159159159159,0.659159159159159,0.488488488488488,0.488488488488488,0.44019019019019,0.44019019019019,0.396896896896897,0.396896896896897,0.652152152152152,0.609109109109109,0.5,0.5,NA,0.616116116116116,NA,0.526526526526526,0.569069069069069,0.686686686686687,0.653153153153153,0.653153153153153,0.653153153153153,0.653153153153153,0.653153153153153,0.653153153153153,0.653153153153153
"4",2000,1,2,TRUE,0.545397698849425,0.539269634817409,0.567033516758379,0.567033516758379,0.546023011505753,0.546023011505753,0.336168084042021,0.336168084042021,0.395697848924462,0.395697848924462,0.741995997999,0.741995997999,0.42296148074037,0.55727863931966,0.5,0.5,NA,0.523261630815408,NA,0.620310155077539,0.530765382691346,0.626313156578289,0.53951975987994,0.53951975987994,0.53951975987994,0.53951975987994,0.53951975987994,0.53951975987994,0.53951975987994
"5",100,5,2,TRUE,0.554736842105263,0.556842105263158,0.55,0.55,0.541052631578947,0.541052631578947,0.51,0.51,0.466842105263158,0.466842105263158,0.513157894736842,0.513157894736842,0.577894736842105,0.508947368421053,0.5,0.5,NA,0.523157894736842,NA,0.557894736842105,0.53,0.55,0.555789473684211,0.556842105263158,0.556842105263158,0.556842105263158,0.556842105263158,0.556842105263158,0.556842105263158
"6",500,5,2,TRUE,0.563838383838384,0.559393939393939,0.582626262626263,0.582626262626263,0.54969696969697,0.54969696969697,0.544545454545455,0.544545454545455,0.51,0.51,0.519090909090909,0.519090909090909,0.544242424242424,0.547373737373737,0.5,0.5,NA,0.557777777777778,NA,0.572222222222222,0.578989898989899,0.546666666666667,0.55979797979798,0.56,0.56,0.56,0.56,0.56,0.56
"7",1000,5,2,TRUE,0.600954773869347,0.600201005025126,0.582010050251256,0.582010050251256,0.60572864321608,0.60572864321608,0.472361809045226,0.472361809045226,0.459949748743719,0.459949748743719,0.578040201005025,0.578040201005025,0.559698492462312,0.597738693467337,0.5,0.5,NA,0.590653266331658,NA,0.621859296482412,0.59035175879397,0.612160804020101,0.600402010050251,0.600402010050251,0.600402010050251,0.600402010050251,0.600402010050251,0.600402010050251,0.600402010050251
"8",2000,5,2,TRUE,0.605288220551378,0.606416040100251,0.593834586466165,0.593834586466165,0.613132832080201,0.613132832080201,0.476040100250627,0.476040100250627,0.478872180451128,0.478872180451128,0.553508771929825,0.553508771929825,0.58796992481203,0.628370927318296,0.5,0.5,NA,0.613157894736842,NA,0.611629072681704,0.566165413533835,0.52546365914787,0.606416040100251,0.606466165413534,0.606466165413534,0.606466165413534,0.606466165413534,0.606466165413534,0.606466165413534
"9",100,10,2,TRUE,0.561111111111111,0.561666666666667,0.551388888888889,0.551388888888889,0.564444444444444,0.564444444444444,0.483055555555556,0.483055555555556,0.484722222222222,0.484722222222222,0.514722222222222,0.514722222222222,0.573611111111111,0.561944444444444,0.5,0.5,NA,0.584166666666667,NA,0.564722222222222,0.585555555555556,0.558055555555556,0.561111111111111,0.560555555555556,0.560555555555556,0.560555555555556,0.560555555555556,0.560555555555556,0.560555555555556
"10",500,10,2,TRUE,0.563418367346939,0.56734693877551,0.567857142857143,0.567857142857143,0.563673469387755,0.563673469387755,0.476173469387755,0.476173469387755,0.4725,0.4725,0.553979591836735,0.553979591836735,0.543775510204082,0.564489795918367,0.5,0.5,NA,0.572040816326531,NA,0.575816326530612,0.561122448979592,0.563775510204082,0.567551020408163,0.56765306122449,0.56765306122449,0.56765306122449,0.56765306122449,0.56765306122449,0.56765306122449
