"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","roc_Loo_multi_low","roc_Loo_multi_high","roc_Loo_low","roc_Loo_high","roc_KNN_log_N_P_low","roc_KNN_log_N_P_high","roc_KNN_log_N_P_diff_net_low","roc_KNN_log_N_P_diff_net_high","roc_KNN_5_sqrt_N_low","roc_KNN_5_sqrt_N_high","roc_KNN_5_sqrt_N_diff_net_low","roc_KNN_5_sqrt_N_diff_net_high","roc_optics_k_mean_low","roc_optics_k_mean_high","roc_optics_k_mean_diff_net_low","roc_optics_k_mean_diff_net_high","roc_optics_k_5_low","roc_optics_k_5_high","roc_optics_k_5_diff_net_low","roc_optics_k_5_diff_net_high","roc_optics_sqrt_n_low","roc_optics_sqrt_n_high","roc_optics_sqrt_n_diff_net_low","roc_optics_sqrt_n_diff_net_high","roc_OTS_low","roc_OTS_high","roc_OTS_diff_net_low","roc_OTS_diff_net_high","roc_OTS_cosine_low","roc_OTS_cosine_high","roc_OTS_diff_net_cosine_low","roc_OTS_diff_net_cosine_high","roc_OTS_cosine_med_low","roc_OTS_cosine_med_high","roc_OTS_euc_med_low","roc_OTS_euc_med_high","roc_OTS_glob_avg_OTS_low","roc_OTS_glob_avg_OTS_high","roc_spoutlier_low","roc_spoutlier_high","roc_spoutlier_diff_net_low","roc_spoutlier_diff_net_high","roc_spoutlier_diff_net_norm_low","roc_spoutlier_diff_net_norm_high","roc_DPCC_low","roc_DPCC_high","roc_cook_max_low","roc_cook_max_high","roc_cook_max_diff_net_low","roc_cook_max_diff_net_high","roc_cook_avg_low","roc_cook_avg_high","roc_cook_avg_diff_net_low","roc_cook_avg_diff_net_high","roc_cook_med_low","roc_cook_med_high","roc_cook_med_diff_net_low","roc_cook_med_diff_net_high"
"1",100,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",500,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1000,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",100,5,2,0,0.1,1.1,3,0.257500271166457,0.789934988705986,0.255207318997565,0.789509561821068,0.254243129862586,0.793614689648461,0.254243129862586,0.793614689648461,0.243450787933618,0.787286842297322,0.243450787933618,0.787286842297322,0.208474280666341,0.738293622114796,0.208474280666341,0.738293622114796,0.181164624511862,0.728936403103429,0.181164624511862,0.728936403103429,0.171230110398431,0.771157116406243,0.171230110398431,0.771157116406243,0.241239883993466,0.799278148728386,0.258466846417029,0.788602603126475,NA,NA,NA,NA,NA,NA,0.235210039958254,0.778234317534029,NA,NA,0.228908623098281,0.782353066578566,0.242149173794343,0.794627636803186,0.258094314901042,0.805777242809067,0.255207318997565,0.789509561821068,0.253479459486393,0.789553895729405,0.253479459486393,0.789553895729405,0.253479459486393,0.789553895729405,0.253479459486393,0.789553895729405,0.253479459486393,0.789553895729405,0.253479459486393,0.789553895729405
"5",500,5,2,0,0.1,1.1,3,0.242996352875965,0.773498537260911,0.244463858868239,0.773245106842217,0.235146505948776,0.773989255067867,0.235146505948776,0.773989255067867,0.252259150776808,0.769136720830865,0.252259150776808,0.769136720830865,0.168210411275964,0.679493559631099,0.168210411275964,0.679493559631099,0.110784667518885,0.694234779084234,0.110784667518885,0.694234779084234,0.17501617537856,0.735739611558348,0.17501617537856,0.735739611558348,0.23108859768819,0.770067953548215,0.252094728252047,0.763710589011164,NA,NA,NA,NA,NA,NA,0.241023685475428,0.7716114629315,NA,NA,0.259951288807758,0.757814419935232,0.252044981984262,0.764301856874191,0.242776547730168,0.759874251974062,0.244411097126383,0.773245106842217,0.244028886889673,0.773196067987362,0.244028886889673,0.773196067987362,0.244028886889673,0.773196067987362,0.244028886889673,0.773196067987362,0.244028886889673,0.773196067987362,0.244028886889673,0.773196067987362
"6",1000,5,2,0,0.1,1.1,3,0.247643663487828,0.731276615732043,0.24737064106702,0.733967813829801,0.232514926022966,0.743804142327734,0.232514926022966,0.743804142327734,0.250550156361149,0.736260677323454,0.250550156361149,0.736260677323454,0.156157674428196,0.687156778858501,0.156157674428196,0.687156778858501,0.151361852762812,0.694569997596432,0.151361852762812,0.694569997596432,0.203618796805205,0.721228804577998,0.203618796805205,0.721228804577998,0.226934751380542,0.747134906807149,0.23943443111904,0.75597431545729,NA,NA,NA,NA,NA,NA,0.237171588553415,0.730370531581523,NA,NA,0.266738109401262,0.751152002581252,0.271265786229121,0.76503305332454,0.240487651237947,0.753197772746964,0.24737064106702,0.733967813829801,0.247626427570943,0.733911435124712,0.247626427570943,0.733911435124712,0.247626427570943,0.733911435124712,0.247626427570943,0.733911435124712,0.247626427570943,0.733911435124712,0.247626427570943,0.733911435124712
"7",100,10,2,0,0.1,1.1,3,0.296210619046458,0.672079804828928,0.295775116140762,0.674704825608425,0.290947453172549,0.673326933693356,0.290947453172549,0.673326933693356,0.28429879856264,0.676032689032218,0.28429879856264,0.676032689032218,0.276966262250351,0.680177176319271,0.276966262250351,0.680177176319271,0.230332503170742,0.636978233353655,0.230332503170742,0.636978233353655,0.233628557598776,0.645306053493362,0.233628557598776,0.645306053493362,0.303068857671857,0.674994798054878,0.292328988321718,0.688089797997112,NA,NA,NA,NA,NA,NA,0.306297541876159,0.677817981989004,NA,NA,0.300813425756767,0.68938145884965,0.293032859566239,0.665627527639587,0.297251328445588,0.681639463929665,0.295775116140762,0.675521794397723,0.295474331094231,0.674704825608425,0.295474331094231,0.674704825608425,0.295474331094231,0.674704825608425,0.295474331094231,0.674704825608425,0.295474331094231,0.674704825608425,0.295474331094231,0.674704825608425
"8",500,10,2,0,0.1,1.1,3,0.317075839756479,0.678697814040824,0.318608089870828,0.678991086276978,0.320006762157361,0.674166692654866,0.320006762157361,0.674166692654866,0.312467811273615,0.670433533726397,0.312467811273615,0.670433533726397,0.261075693987431,0.636487980136472,0.261075693987431,0.636487980136472,0.2329157602516,0.610240061026496,0.2329157602516,0.610240061026496,0.25339721479628,0.650296801769197,0.25339721479628,0.650296801769197,0.310466392519491,0.686101423183422,0.316394892596694,0.684916971689662,NA,NA,NA,NA,NA,NA,0.322994394681962,0.667795543538658,NA,NA,0.310183297617741,0.682820296491752,0.304726197077083,0.664354727494508,0.301240188918312,0.679081321079866,0.318608089870828,0.678991086276978,0.318329070112887,0.679001493470048,0.318329070112887,0.679001493470048,0.318329070112887,0.679001493470048,0.318329070112887,0.679001493470048,0.318329070112887,0.679001493470048,0.318329070112887,0.679001493470048
"9",1000,10,2,0,0.1,1.1,3,0.324069349477995,0.693032202109309,0.324326223866938,0.692424761811429,0.336253587076473,0.689669285426498,0.336253587076473,0.689669285426498,0.330837171369255,0.690596920389767,0.330837171369255,0.690596920389767,0.245505206171238,0.626191623974731,0.245505206171238,0.626191623974731,0.242448137896456,0.614183615670803,0.242448137896456,0.614183615670803,0.25944891535765,0.656675354218665,0.25944891535765,0.656675354218665,0.329935559203814,0.676895106669338,0.302868123728696,0.689685779572362,NA,NA,NA,NA,NA,NA,0.318046066046955,0.688870170284822,NA,NA,0.336604166892438,0.687254310943571,0.334649997388194,0.701091926910258,0.324797531656187,0.678701800555255,0.324326223866938,0.692424761811429,0.324301092299918,0.692420136688835,0.324301092299918,0.692420136688835,0.324301092299918,0.692420136688835,0.324301092299918,0.692420136688835,0.324301092299918,0.692420136688835,0.324301092299918,0.692420136688835
"10",100,1,5,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
