"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.242424242424242,0.242424242424242,0.207070707070707,0.207070707070707,0.297979797979798,0.297979797979798,0.702020202020202,0.702020202020202,0.303030303030303,0.303030303030303,0.0555555555555556,0.0555555555555556,0.0631313131313131,0.141414141414141,NA,NA,NA,0.181818181818182,NA,0.429292929292929,0.116161616161616,0.202020202020202,0.242424242424242,0.242424242424242,0.242424242424242,0.242424242424242,0.242424242424242,0.242424242424242,0.242424242424242
"2",500,1,2,0,0.1,1.1,3,0.241482965931864,0.245490981963928,0.19939879759519,0.19939879759519,0.153306613226453,0.153306613226453,0.151302605210421,0.151302605210421,0.255511022044088,0.255511022044088,0.302104208416834,0.302104208416834,0.318637274549098,0.130260521042084,NA,NA,NA,0.315130260521042,NA,0.202404809619238,0.341683366733467,0.35871743486974,0.245490981963928,0.245490981963928,0.245490981963928,0.245490981963928,0.245490981963928,0.245490981963928,0.245490981963928
"3",1000,1,2,0,0.1,1.1,3,0.474974974974975,0.473973973973974,0.43043043043043,0.43043043043043,0.438938938938939,0.438938938938939,0.738738738738739,0.738738738738739,0.544544544544544,0.544544544544544,0.417167167167167,0.417167167167167,0.643143143143143,0.508508508508509,NA,NA,NA,0.478478478478478,NA,0.629129129129129,0.583083083083083,0.321821821821822,0.473973973973974,0.473973973973974,0.473973973973974,0.473973973973974,0.473973973973974,0.473973973973974,0.473973973973974
"4",100,5,2,0,0.1,1.1,3,0.436842105263158,0.44,0.477894736842105,0.477894736842105,0.437894736842105,0.437894736842105,0.479473684210526,0.479473684210526,0.432631578947368,0.432631578947368,0.456315789473684,0.456315789473684,0.532631578947368,0.49,NA,NA,NA,0.421052631578947,NA,0.546842105263158,0.507368421052632,0.371578947368421,0.438947368421053,0.44,0.44,0.44,0.44,0.44,0.44
"5",500,5,2,0,0.1,1.1,3,0.55969696969697,0.562424242424242,0.536565656565657,0.536565656565657,0.566464646464647,0.566464646464647,0.392626262626263,0.392626262626263,0.427777777777778,0.427777777777778,0.514343434343434,0.514343434343434,0.538585858585859,0.54040404040404,NA,NA,NA,0.531515151515151,NA,0.549494949494949,0.515757575757576,0.473939393939394,0.562424242424242,0.562424242424242,0.562424242424242,0.562424242424242,0.562424242424242,0.562424242424242,0.562424242424242
"6",1000,5,2,0,0.1,1.1,3,0.502663316582915,0.505025125628141,0.55427135678392,0.55427135678392,0.532663316582915,0.532663316582915,0.414371859296482,0.414371859296482,0.402663316582915,0.402663316582915,0.567587939698492,0.567587939698492,0.567537688442211,0.498693467336683,NA,NA,NA,0.528894472361809,NA,0.48748743718593,0.497788944723618,0.434070351758794,0.505125628140703,0.505025125628141,0.505025125628141,0.505025125628141,0.505025125628141,0.505025125628141,0.505025125628141
"7",100,10,2,0,0.1,1.1,3,0.523888888888889,0.524444444444444,0.515555555555556,0.515555555555556,0.508888888888889,0.508888888888889,0.453333333333333,0.453333333333333,0.41,0.41,0.476666666666667,0.476666666666667,0.543055555555556,0.468888888888889,NA,NA,NA,0.486111111111111,NA,0.503055555555556,0.518888888888889,0.491666666666667,0.524444444444444,0.524444444444444,0.524444444444444,0.524444444444444,0.524444444444444,0.524444444444444,0.524444444444444
"8",500,10,2,0,0.1,1.1,3,0.585867346938776,0.589591836734694,0.571122448979592,0.571122448979592,0.561836734693878,0.561836734693878,0.488367346938775,0.488367346938775,0.485918367346939,0.485918367346939,0.531428571428571,0.531428571428571,0.577091836734694,0.625510204081633,NA,NA,NA,0.586836734693878,NA,0.628928571428572,0.578826530612245,0.548520408163265,0.589591836734694,0.58969387755102,0.58969387755102,0.58969387755102,0.58969387755102,0.58969387755102,0.58969387755102
"9",1000,10,2,0,0.1,1.1,3,0.487525252525253,0.49,0.476969696969697,0.476969696969697,0.494292929292929,0.494292929292929,0.378787878787879,0.378787878787879,0.391919191919192,0.391919191919192,0.586641414141414,0.586641414141414,0.506161616161616,0.555606060606061,NA,NA,NA,0.513282828282828,NA,0.559469696969697,0.545909090909091,0.504444444444444,0.49,0.49,0.49,0.49,0.49,0.49,0.49
"10",100,1,5,0,0.1,1.1,3,0.277777777777778,0.358585858585859,0.338383838383838,0.338383838383838,0.338383838383838,0.338383838383838,0.338383838383838,0.338383838383838,0.338383838383838,0.338383838383838,0.217171717171717,0.217171717171717,0.419191919191919,0.318181818181818,0.373737373737374,0.398989898989899,0.611111111111111,0.30050505050505,0.474747474747475,0.348484848484849,0.244949494949495,0.282828282828283,NA,0.292929292929293,0.292929292929293,0.343434343434343,0.343434343434343,0.373737373737374,0.373737373737374
"11",500,1,5,0,0.1,1.1,3,0.552104208416834,0.518036072144289,0.55811623246493,0.55811623246493,0.555110220440882,0.555110220440882,0.546092184368737,0.546092184368737,0.582164328657315,0.582164328657315,0.524048096192385,0.524048096192385,0.570140280561122,0.30561122244489,0.498997995991984,0.567134268537074,0.662324649298597,0.609218436873747,0.75751503006012,0.572144288577154,0.493987975951904,0.64128256513026,NA,0.550100200400802,0.550100200400802,0.54809619238477,0.54809619238477,0.536072144288577,0.536072144288577
"12",1000,1,5,0,0.1,1.1,3,0.785785785785786,0.613613613613614,0.747747747747748,0.747747747747748,0.745245245245245,0.745245245245245,0.494494494494495,0.494494494494495,0.413913913913914,0.413913913913914,0.812812812812813,0.812812812812813,0.684684684684685,0.744244244244244,0.677927927927928,0.628128128128128,0.573073073073073,0.707707707707708,0.512012012012012,0.621121121121121,0.691191191191191,0.672672672672673,NA,0.70970970970971,0.70970970970971,0.68968968968969,0.68968968968969,0.633133133133133,0.633133133133133
