"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.207070707070707,0.207070707070707,0.292929292929293,0.292929292929293,0.242424242424242,0.242424242424242,0.212121212121212,0.212121212121212,0.141414141414141,0.141414141414141,0.196969696969697,0.196969696969697,0.30050505050505,0.237373737373737,NA,NA,NA,0.308080808080808,NA,0.247474747474747,0.323232323232323,0.590909090909091,0.207070707070707,0.202020202020202,0.202020202020202,0.202020202020202,0.202020202020202,0.202020202020202,0.202020202020202
"2",500,1,2,0,0.1,1.1,3,0.486973947895792,0.486973947895792,0.249498997995992,0.249498997995992,0.349699398797595,0.349699398797595,0.143286573146293,0.143286573146293,0.0831663326653307,0.0831663326653307,0.25250501002004,0.25250501002004,0.414829659318637,0.092184368737475,NA,NA,NA,0.37374749498998,NA,0.456913827655311,0.281563126252505,0.555110220440882,0.486973947895792,0.486973947895792,0.486973947895792,0.486973947895792,0.486973947895792,0.486973947895792,0.486973947895792
"3",1000,1,2,0,0.1,1.1,3,0.102352352352352,0.126626626626627,0.0875875875875876,0.0875875875875876,0.125625625625626,0.125625625625626,0.540790790790791,0.540790790790791,0.391641641641642,0.391641641641642,0.0750750750750751,0.0750750750750751,0.344344344344344,0.452952952952953,NA,NA,NA,0.136636636636637,NA,0.352352352352352,0.164664664664665,0.21971971971972,0.126626626626627,0.126126126126126,0.126126126126126,0.126126126126126,0.126126126126126,0.126126126126126,0.126126126126126
"4",100,5,2,0,0.1,1.1,3,0.411578947368421,0.414736842105263,0.424736842105263,0.424736842105263,0.393684210526316,0.393684210526316,0.470526315789474,0.470526315789474,0.371578947368421,0.371578947368421,0.360526315789474,0.360526315789474,0.48,0.462631578947368,NA,NA,NA,0.352105263157895,NA,0.424210526315789,0.458947368421053,0.458947368421053,0.414736842105263,0.414736842105263,0.414736842105263,0.414736842105263,0.414736842105263,0.414736842105263,0.414736842105263
"5",500,5,2,0,0.1,1.1,3,0.544545454545455,0.554747474747475,0.583030303030303,0.583030303030303,0.6,0.6,0.579090909090909,0.579090909090909,0.470505050505051,0.470505050505051,0.522020202020202,0.522020202020202,0.567878787878788,0.563030303030303,NA,NA,NA,0.60030303030303,NA,0.678989898989899,0.588383838383838,0.584545454545454,0.554747474747475,0.554747474747475,0.554747474747475,0.554747474747475,0.554747474747475,0.554747474747475,0.554747474747475
"6",1000,5,2,0,0.1,1.1,3,0.570904522613065,0.568743718592965,0.484221105527638,0.484221105527638,0.522211055276382,0.522211055276382,0.438241206030151,0.438241206030151,0.467386934673367,0.467386934673367,0.371256281407035,0.371256281407035,0.455577889447236,0.491959798994975,NA,NA,NA,0.46643216080402,NA,0.507939698492462,0.550050251256281,0.524221105527638,0.568743718592965,0.568844221105528,0.568844221105528,0.568844221105528,0.568844221105528,0.568844221105528,0.568844221105528
"7",100,10,2,0,0.1,1.1,3,0.444444444444444,0.444444444444444,0.425833333333333,0.425833333333333,0.423333333333333,0.423333333333333,0.517222222222222,0.517222222222222,0.461111111111111,0.461111111111111,0.448611111111111,0.448611111111111,0.436944444444444,0.4275,NA,NA,NA,0.4275,NA,0.43,0.509444444444444,0.5075,0.444444444444444,0.443333333333333,0.443333333333333,0.443333333333333,0.443333333333333,0.443333333333333,0.443333333333333
"8",500,10,2,0,0.1,1.1,3,0.544642857142857,0.543673469387755,0.528673469387755,0.528673469387755,0.563265306122449,0.563265306122449,0.459132653061225,0.459132653061225,0.383061224489796,0.383061224489796,0.487091836734694,0.487091836734694,0.542142857142857,0.568163265306122,NA,NA,NA,0.501632653061225,NA,0.490867346938776,0.541275510204082,0.568979591836735,0.543673469387755,0.543775510204082,0.543775510204082,0.543775510204082,0.543775510204082,0.543775510204082,0.543775510204082
"9",1000,10,2,0,0.1,1.1,3,0.548989898989899,0.547929292929293,0.54510101010101,0.54510101010101,0.549848484848485,0.549848484848485,0.323661616161616,0.323661616161616,0.391868686868687,0.391868686868687,0.47510101010101,0.47510101010101,0.584191919191919,0.552323232323232,NA,NA,NA,0.527727272727273,NA,0.541767676767677,0.621262626262626,0.54020202020202,0.547878787878788,0.547878787878788,0.547878787878788,0.547878787878788,0.547878787878788,0.547878787878788,0.547878787878788
"10",100,1,5,0,0.1,1.1,3,0.47979797979798,0.54040404040404,0.424242424242424,0.424242424242424,0.424242424242424,0.424242424242424,0.621212121212121,0.621212121212121,0.601010101010101,0.601010101010101,0.575757575757576,0.575757575757576,0.494949494949495,0.386363636363636,0.361111111111111,0.833333333333333,0.318181818181818,0.45959595959596,0.333333333333333,0.313131313131313,0.545454545454545,0.484848484848485,NA,0.257575757575758,0.257575757575758,0.207070707070707,0.207070707070707,0.191919191919192,0.191919191919192
"11",500,1,5,0,0.1,1.1,3,0.392785571142285,0.290581162324649,0.374749498997996,0.374749498997996,0.35871743486974,0.35871743486974,0.297595190380761,0.297595190380761,0.314629258517034,0.314629258517034,0.433867735470942,0.433867735470942,0.501002004008016,0.470941883767535,0.544589178356713,0.390781563126253,0.538076152304609,0.434869739478958,0.465931863727455,0.440881763527054,0.342685370741483,0.198396793587174,NA,0.330661322645291,0.330661322645291,0.319639278557114,0.319639278557114,0.176352705410822,0.176352705410822
"12",1000,1,5,0,0.1,1.1,3,0.652652652652653,0.745745745745746,0.615615615615616,0.615615615615616,0.623623623623624,0.623623623623624,0.412912912912913,0.412912912912913,0.567567567567568,0.567567567567568,0.561061061061061,0.561061061061061,0.560560560560561,0.604604604604605,0.500500500500501,0.519519519519519,0.377377377377377,0.689189189189189,0.459459459459459,0.676176176176176,0.724224224224224,0.764264264264264,NA,0.625125125125125,0.625125125125125,0.707707707707708,0.707707707707708,0.765265265265265,0.765265265265265
"13",100,5,5,0,0.1,1.1,3,0.421578947368421,0.507368421052632,0.5,0.5,0.497894736842105,0.497894736842105,0.468421052631579,0.468421052631579,0.407368421052632,0.407368421052632,0.476842105263158,0.476842105263158,0.503157894736842,0.488421052631579,0.403684210526316,0.381052631578947,0.517368421052632,0.501052631578947,0.442105263157895,0.493157894736842,0.495263157894737,0.481052631578947,NA,0.482105263157895,0.482105263157895,0.489473684210526,0.489473684210526,0.527368421052632,0.527368421052632
