"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","roc_cook_avg_diff_net_high","roc_cook_avg_diff_net_low","roc_cook_avg_high","roc_cook_avg_low","roc_cook_max_diff_net_high","roc_cook_max_diff_net_low","roc_cook_max_high","roc_cook_max_low","roc_cook_med_diff_net_high","roc_cook_med_diff_net_low","roc_cook_med_high","roc_cook_med_low","roc_DPCC_high","roc_DPCC_low","roc_KNN_5_sqrt_N_diff_net_high","roc_KNN_5_sqrt_N_diff_net_low","roc_KNN_5_sqrt_N_high","roc_KNN_5_sqrt_N_low","roc_KNN_log_N_P_diff_net_high","roc_KNN_log_N_P_diff_net_low","roc_KNN_log_N_P_high","roc_KNN_log_N_P_low","roc_Loo_high","roc_Loo_low","roc_Loo_multi_high","roc_Loo_multi_low","roc_optics_k_5_diff_net_high","roc_optics_k_5_diff_net_low","roc_optics_k_5_high","roc_optics_k_5_low","roc_optics_k_mean_diff_net_high","roc_optics_k_mean_diff_net_low","roc_optics_k_mean_high","roc_optics_k_mean_low","roc_optics_sqrt_n_diff_net_high","roc_optics_sqrt_n_diff_net_low","roc_optics_sqrt_n_high","roc_optics_sqrt_n_low","roc_OTS_cosine_high","roc_OTS_cosine_low","roc_OTS_cosine_med_high","roc_OTS_cosine_med_low","roc_OTS_diff_net_cosine_high","roc_OTS_diff_net_cosine_low","roc_OTS_diff_net_high","roc_OTS_diff_net_low","roc_OTS_euc_med_high","roc_OTS_euc_med_low","roc_OTS_glob_avg_OTS_high","roc_OTS_glob_avg_OTS_low","roc_OTS_high","roc_OTS_low","roc_spoutlier_diff_net_high","roc_spoutlier_diff_net_low","roc_spoutlier_diff_net_norm_high","roc_spoutlier_diff_net_norm_low","roc_spoutlier_high","roc_spoutlier_low"
"1",100,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",500,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1000,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",100,5,2,0,0.1,1.1,3,0.175679752555358,0.655156600063718,0.177895494963909,0.656595492706586,0.23655496003832,0.662025409672793,0.23655496003832,0.662025409672793,0.182245800999527,0.675668029257864,0.182245800999527,0.675668029257864,0.208474280666341,0.751141453005084,0.208474280666341,0.751141453005084,0.110216250273823,0.628549774509244,0.110216250273823,0.628549774509244,0.152763215906308,0.617064051238438,0.152763215906308,0.617064051238438,0.221640813664951,0.712659771282681,0.228868395217494,0.71526057776014,NA,NA,NA,NA,NA,NA,0.185910615510622,0.694436707334334,NA,NA,0.175703087672218,0.689668259538855,0.216081926967749,0.698417086774968,0.251782332599853,0.719692894657355,0.177895494963909,0.656595492706586,0.177895494963909,0.656595492706586,0.177895494963909,0.656595492706586,0.177895494963909,0.656595492706586,0.177895494963909,0.656595492706586,0.177895494963909,0.656595492706586,0.177895494963909,0.656595492706586
"5",500,5,2,0,0.1,1.1,3,0.232854462475958,0.768205837046938,0.24118316702735,0.767062389150224,0.235168613231509,0.800114120922362,0.235168613231509,0.800114120922362,0.24471022475308,0.786749559386322,0.24471022475308,0.786749559386322,0.275308488442844,0.658242676856004,0.275308488442844,0.658242676856004,0.128149883130022,0.708213753233614,0.128149883130022,0.708213753233614,0.192113078385134,0.748922877023997,0.192113078385134,0.748922877023997,0.277993534856491,0.784888358530742,0.254198348928423,0.783785148990319,NA,NA,NA,NA,NA,NA,0.263474068762673,0.786348874083851,NA,NA,0.263824615819763,0.768180198078568,0.365464316398939,0.758762804352933,0.15863365909384,0.722491845893913,0.24118316702735,0.767062389150224,0.24118316702735,0.766894424819498,0.24118316702735,0.766894424819498,0.24118316702735,0.766894424819498,0.24118316702735,0.766894424819498,0.24118316702735,0.766894424819498,0.24118316702735,0.766894424819498
"6",1000,5,2,0,0.1,1.1,3,0.185638821974604,0.725601352667145,0.182418612446572,0.722613496730959,0.18031545335734,0.739083016967699,0.18031545335734,0.739083016967699,0.181567168620725,0.710012827380563,0.181567168620725,0.710012827380563,0.200090437909381,0.748100880121386,0.200090437909381,0.748100880121386,0.203884519788539,0.76943466910482,0.203884519788539,0.76943466910482,0.168235257552553,0.704354650762199,0.168235257552553,0.704354650762199,0.150725565387095,0.700063810886293,0.155292303338515,0.756513009225126,NA,NA,NA,NA,NA,NA,0.191322501922055,0.736844480867908,NA,NA,0.202073941076229,0.761204257781069,0.305999312454199,0.799634531288573,0.240487651237947,0.758427408112451,0.182418612446572,0.722613496730959,0.182175506787227,0.722655597365178,0.182175506787227,0.722655597365178,0.182175506787227,0.722655597365178,0.182175506787227,0.722655597365178,0.182175506787227,0.722655597365178,0.182175506787227,0.722655597365178
"7",100,10,2,0,0.1,1.1,3,0.235263143162439,0.662514634615339,0.23595607573267,0.66404392426733,0.21047979289564,0.640740608719887,0.21047979289564,0.640740608719887,0.22346322194342,0.646256462482627,0.22346322194342,0.646256462482627,0.294351572095535,0.702298778400356,0.294351572095535,0.702298778400356,0.226448583418656,0.670553273747352,0.226448583418656,0.670553273747352,0.227420528497381,0.675901356342191,0.227420528497381,0.675901356342191,0.260914016053503,0.640908325188194,0.27807120599607,0.696949897213762,NA,NA,NA,NA,NA,NA,0.286156838646662,0.67936740673344,NA,NA,0.255391330369764,0.659718371356873,0.268249610824186,0.671706255043686,0.268355134082434,0.649422643695344,0.23595607573267,0.66404392426733,0.236930448161685,0.664180662949427,0.236930448161685,0.664180662949427,0.236930448161685,0.664180662949427,0.236930448161685,0.664180662949427,0.236930448161685,0.664180662949427,0.236930448161685,0.664180662949427
"8",500,10,2,0,0.1,1.1,3,0.318725161695801,0.651714361682694,0.319792603359144,0.651322502031303,0.339142329335215,0.633918895154581,0.339142329335215,0.633918895154581,0.331238518817817,0.642552728162116,0.331238518817817,0.642552728162116,0.257655020546536,0.598470546850386,0.257655020546536,0.598470546850386,0.23878942873149,0.56234025457869,0.23878942873149,0.56234025457869,0.308921213351029,0.724309872516181,0.308921213351029,0.724309872516181,0.276949202107657,0.629705838486386,0.386048752897351,0.736919250473634,NA,NA,NA,NA,NA,NA,0.327193857382179,0.655492424505166,NA,NA,0.295091461859682,0.627181774707555,0.367357103807818,0.689564935279231,0.262500725475106,0.638319593952273,0.319792603359144,0.651322502031303,0.319950403223728,0.651368783799372,0.319950403223728,0.651368783799372,0.319950403223728,0.651368783799372,0.319950403223728,0.651368783799372,0.319950403223728,0.651368783799372,0.319950403223728,0.651368783799372
"9",1000,10,2,0,0.1,1.1,3,0.399098874397144,0.749782675146984,0.399952623249476,0.751014121290701,0.41168908872893,0.783759128387236,0.41168908872893,0.783759128387236,0.409512067881454,0.763013184643799,0.409512067881454,0.763013184643799,0.243766452017377,0.615425467174542,0.243766452017377,0.615425467174542,0.225325834494618,0.594945929097862,0.225325834494618,0.594945929097862,0.268377390132993,0.680895676650547,0.268377390132993,0.680895676650547,0.406792235237805,0.747691228965055,0.448297653172879,0.79539964027201,NA,NA,NA,NA,NA,NA,0.358987274475861,0.752158229133557,NA,NA,0.334284075349654,0.706824558805272,0.397695878704472,0.751193985288076,0.344045767091658,0.674822517195734,0.399952623249476,0.750953420288887,0.399952623249476,0.750953420288887,0.399952623249476,0.750953420288887,0.399952623249476,0.750953420288887,0.399952623249476,0.750953420288887,0.399952623249476,0.750953420288887,0.399952623249476,0.750953420288887
"10",100,1,5,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
