"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.393939393939394,0.393939393939394,0.515151515151515,0.515151515151515,0.434343434343434,0.434343434343434,0.262626262626263,0.262626262626263,0.0656565656565657,0.0656565656565657,0.0404040404040404,0.0404040404040404,0.464646464646465,0.292929292929293,NA,NA,NA,0.535353535353535,NA,0.262626262626263,0.323232323232323,0.444444444444444,0.393939393939394,0.383838383838384,0.383838383838384,0.383838383838384,0.383838383838384,0.383838383838384,0.383838383838384
"2",500,1,2,0,0.1,1.1,3,0.334669338677355,0.322645290581162,0.106212424849699,0.106212424849699,0.232464929859719,0.232464929859719,0.234468937875752,0.234468937875752,0.130260521042084,0.130260521042084,0.25250501002004,0.25250501002004,0.382765531062124,0.0340681362725451,NA,NA,NA,0.306613226452906,NA,0.547094188376753,0.31062124248497,0.246492985971944,0.322645290581162,0.322645290581162,0.322645290581162,0.322645290581162,0.322645290581162,0.322645290581162,0.322645290581162
"3",1000,1,2,0,0.1,1.1,3,0.144644644644645,0.166166166166166,0.144144144144144,0.144144144144144,0.189189189189189,0.189189189189189,0.224224224224224,0.224224224224224,0.202702702702703,0.202702702702703,0.573573573573574,0.573573573573574,0.362362362362362,0.570570570570571,NA,NA,NA,0.047047047047047,NA,0.421421421421421,0.0900900900900901,0.103103103103103,0.166166166166166,0.166166166166166,0.166166166166166,0.166166166166166,0.166166166166166,0.166166166166166,0.166166166166166
"4",100,5,2,0,0.1,1.1,3,0.223157894736842,0.221052631578947,0.297894736842105,0.297894736842105,0.267368421052632,0.267368421052632,0.473684210526316,0.473684210526316,0.402105263157895,0.402105263157895,0.327368421052632,0.327368421052632,0.482105263157895,0.208421052631579,NA,NA,NA,0.281052631578947,NA,0.433684210526316,0.386315789473684,0.417894736842105,0.221052631578947,0.218947368421053,0.218947368421053,0.218947368421053,0.218947368421053,0.218947368421053,0.218947368421053
"5",500,5,2,0,0.1,1.1,3,0.583030303030303,0.585858585858586,0.591515151515152,0.591515151515152,0.624242424242424,0.624242424242424,0.485252525252525,0.485252525252525,0.300606060606061,0.300606060606061,0.71979797979798,0.71979797979798,0.507474747474748,0.57979797979798,NA,NA,NA,0.656969696969697,NA,0.754343434343434,0.507272727272727,0.583232323232323,0.585858585858586,0.586262626262626,0.586262626262626,0.586262626262626,0.586262626262626,0.586262626262626,0.586262626262626
"6",1000,5,2,0,0.1,1.1,3,0.364321608040201,0.364422110552764,0.367437185929648,0.367437185929648,0.361608040201005,0.361608040201005,0.437989949748744,0.437989949748744,0.343316582914573,0.343316582914573,0.400100502512563,0.400100502512563,0.457286432160804,0.50391959798995,NA,NA,NA,0.292160804020101,NA,0.442613065326633,0.256884422110553,0.506934673366834,0.364422110552764,0.364422110552764,0.364422110552764,0.364422110552764,0.364422110552764,0.364422110552764,0.364422110552764
"7",100,10,2,0,0.1,1.1,3,0.267222222222222,0.268888888888889,0.3,0.3,0.282222222222222,0.282222222222222,0.357222222222222,0.357222222222222,0.456666666666667,0.456666666666667,0.192222222222222,0.192222222222222,0.291111111111111,0.307222222222222,NA,NA,NA,0.239444444444444,NA,0.339444444444444,0.329444444444444,0.403888888888889,0.268888888888889,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667
"8",500,10,2,0,0.1,1.1,3,0.410510204081633,0.408163265306122,0.463469387755102,0.463469387755102,0.436938775510204,0.436938775510204,0.496428571428571,0.496428571428571,0.452551020408163,0.452551020408163,0.390408163265306,0.390408163265306,0.431836734693878,0.532040816326531,NA,NA,NA,0.48530612244898,NA,0.454183673469388,0.520918367346939,0.47734693877551,0.408163265306122,0.407959183673469,0.407959183673469,0.407959183673469,0.407959183673469,0.407959183673469,0.407959183673469
"9",1000,10,2,0,0.1,1.1,3,0.641515151515151,0.641818181818182,0.678484848484848,0.678484848484848,0.657979797979798,0.657979797979798,0.348181818181818,0.348181818181818,0.349242424242424,0.349242424242424,0.594090909090909,0.594090909090909,0.647878787878788,0.66040404040404,NA,NA,NA,0.684141414141414,NA,0.584848484848485,0.673535353535354,0.671010101010101,0.641818181818182,0.641818181818182,0.641818181818182,0.641818181818182,0.641818181818182,0.641818181818182,0.641818181818182
"10",100,1,5,0,0.1,1.1,3,0.909090909090909,0.898989898989899,0.858585858585859,0.858585858585859,0.858585858585859,0.858585858585859,0.898989898989899,0.898989898989899,0.828282828282828,0.828282828282828,0.767676767676768,0.767676767676768,0.858585858585859,0.828282828282828,0.96969696969697,0.747474747474748,0,0.898989898989899,0.141414141414141,0.333333333333333,0.929292929292929,0.787878787878788,NA,0.919191919191919,0.919191919191919,0.95959595959596,0.95959595959596,0.94949494949495,0.94949494949495
