"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","OPT_roc_Loo_multi","OPT_roc_Loo","OPT_roc_KNN_log_N_P","OPT_roc_KNN_log_N_P_diff_net","OPT_roc_KNN_5_sqrt_N","OPT_roc_KNN_5_sqrt_N_diff_net","OPT_roc_optics_k_mean","OPT_roc_optics_k_mean_diff_net","OPT_roc_optics_k_5","OPT_roc_optics_k_5_diff_net","OPT_roc_optics_sqrt_n","OPT_roc_optics_sqrt_n_diff_net","OPT_roc_OTS","OPT_roc_OTS_diff_net","OPT_roc_OTS_cosine","OPT_roc_OTS_diff_net_cosine","OPT_roc_OTS_cosine_med","OPT_roc_OTS_euc_med","OPT_roc_OTS_glob_avg_OTS","OPT_roc_spoutlier","OPT_roc_spoutlier_diff_net","OPT_roc_spoutlier_diff_net_norm","OPT_DPCC","OPT_roc_cook_max","OPT_roc_cook_max_diff_net","OPT_roc_cook_avg","OPT_roc_cook_avg_diff_net","OPT_roc_cook_med","OPT_roc_cook_med_diff_net"
"1",100,1,2,0,0.1,1.1,3,0.1082,0.0105718330274389,0.540748449213232,0.00546210554760839,5.51734012428985,0.0557307083261601,1.1825540118318,1.1825540118318,1.25180672427604,1.25180672427604,1.02512508353658,1.02512508353658,0.163068305514088,0.00299573334050133,NA,NA,NA,0.0873703430653688,NA,0.0790201511014754,0.00160173405356336,0.12983786218004,1.05220358798268,0.0105014369138198,0.0105014369138198,0.0105014369138198,0.0105014369138198,0.0105014369138198,0.0105014369138198
"2",500,1,2,0,0.1,1.1,3,0.3037,0.000496621959367859,0.144669492751526,0.000289918823149349,5.08180164704151,0.0101839712365561,0.961891403113214,0.961891403113214,1.03896074674638,1.03896074674639,1.01640279989435,1.01640279989435,0.057770325563048,0.000351850597652701,NA,NA,NA,0.0479388714856339,NA,0.020421727947731,2.95197606066631e-05,0.0722008849096826,0.248113360229634,0.000114018039892155,0.000114018039892155,0.000114018039892155,0.000114018039892155,0.000114018039892155,0.000114018039892155
"3",1000,1,2,0,0.1,1.1,3,0.40035,9.2117963672797e-05,0.0475262799611643,4.75738538149792e-05,3.39410795837177,0.00339750546383561,1.09439611159614,1.09439611159614,1.06044330655807,1.06044330655807,1.00329766988097,1.00329766988097,0.0342451205014103,4.98112193160136e-05,NA,NA,NA,0.0256554512383873,NA,0.042873904608765,1.14023563738547e-05,0.0400803746313707,0.0923766008530957,8.67330397208196e-06,8.67330397208197e-06,8.67330397208196e-06,8.67330397208197e-06,8.67330397208196e-06,8.67330397208197e-06
"4",100,5,2,0,0.1,1.1,3,0.27885,0.00298535395931443,0.203401242398169,0.00205455800402191,3.93893836752016,0.0397872562375773,0.836465576164312,0.836465576164312,0.973160583552389,0.973160583552389,1.14710154338717,1.14710154338717,0.0564510394084062,9.92445452556479e-05,NA,NA,NA,0.0545645073481668,NA,0.0250479783611398,4.65170108860276e-05,0.0862554355231006,0.296953788927835,0.000956887446137285,0.000956887446137285,0.000956887446137285,0.000956887446137285,0.000956887446137285,0.000956887446137285
"5",500,5,2,0,0.1,1.1,3,0.23615,0.000782006494626543,0.187576150457241,0.000375904109132748,4.73636468706681,0.0094917127997331,0.950484479928896,0.950484479928897,1.14364318699555,1.14364318699555,1.00203577354551,1.00203577354551,0.0307656981608299,0.000257538641349253,NA,NA,NA,0.0566179482057222,NA,0.0518752030601696,8.98243403782903e-05,0.0367716518010766,0.392630006560642,0.00032102213945731,0.00032102213945731,0.00032102213945731,0.00032102213945731,0.00032102213945731,0.00032102213945731
"6",1000,5,2,0,0.1,1.1,3,0.2573,0.000407619798223045,0.0330509777831556,3.30840618450005e-05,5.04015368255459,0.00504519888143602,0.891165497882589,0.89116549788259,1.13551765225584,1.13551765225584,0.98200767474484,0.98200767474484,0.0586108613279746,2.42232210968217e-05,NA,NA,NA,0.0467039089559375,NA,0.0105890949612568,3.81947969119029e-05,0.118443891731905,0.409255839620808,0.000241366577685907,0.000241366577685907,0.000241366577685907,0.000241366577685907,0.000241366577685907,0.000241366577685907
"7",100,10,2,0,0.1,1.1,3,0.3684,0.00135659358954475,0.230074120201371,0.00232398101213506,1.44076718310806,0.0145532038697784,0.960618132977567,0.960618132977567,1.04606913528435,1.04606913528435,0.960695129248243,0.960695129248243,0.0266314952877364,0.000313020031115809,NA,NA,NA,0.0256361314911988,NA,0.0367556585954589,0.000139432981682328,0.0146895573017318,0.13840099221064,0.000203543776428595,0.000203543776428595,0.000203543776428595,0.000203543776428595,0.000203543776428595,0.000203543776428595
"8",500,10,2,0,0.1,1.1,3,0.33945,0.000352708330349213,0.0855431329551877,0.000171429124158693,2.90062865988293,0.00581288308593774,1.02329260581589,1.02329260581589,1.0165831903859,1.0165831903859,0.988776178028047,0.988776178028047,0.0454289829146466,7.70802046109672e-05,NA,NA,NA,0.0356708708527644,NA,0.021466498405591,5.38727115959245e-05,0.0181152391408007,0.176684246181915,7.04649240538379e-05,7.04649240538379e-05,7.04649240538379e-05,7.04649240538379e-05,7.04649240538379e-05,7.04649240538379e-05
"9",1000,10,2,0,0.1,1.1,3,0.21505,0.000466470913573436,0.0877134708174404,8.78012720895299e-05,8.5770604604089,0.00858564610651542,0.580165114899929,0.58016511489993,0.960022796419439,0.960022796419441,1.01294795299883,1.01294795299883,0.108937373173144,6.51553375247138e-06,NA,NA,NA,0.0641099482344729,NA,0.138026856550688,1.56427708147937e-05,0.00986425555163896,0.468217270609139,0.000216036129589048,0.000216036129589048,0.000216036129589048,0.000216036129589048,0.000216036129589048,0.000216036129589048
"10",100,1,5,0,0.1,1.1,3,0.111,0.0434364080480406,79.7759807559427,0.805817987433765,73.9079204371641,0.746544650880446,0.982799077986293,0.982799077986293,1.11655911658698,1.11655911658698,1.13519763908845,1.13519763908845,1.96891074873529,0.0181019607708856,0.645341727568599,0.694673696556046,0.766359152781395,1.44554512740542,0.2203936263659,1.44993665640884,0.016159456291665,1.93147676693927,NA,0.00752419808562078,0.00752419808562078,0.00212095592027639,0.00212095592027639,0.000458051694165026,0.000458051694165026
"11",500,1,5,0,0.1,1.1,3,0.0311,0.0127872419674749,68.8298107740645,0.137935492533195,455.381612673573,0.91258840215145,1.29494533439043,1.29494533439043,1.40973088151562,1.40973088151562,1.35115349159871,1.35115349159871,1.94683457354161,0.0038626372701136,0.675932631538378,0.719320495094292,0.720285658316596,2.24483398638569,0.284067866246067,2.55952884711185,0.00357892371848682,2.40292741791015,NA,0.00384288939590002,0.00384288939590002,0.000881977107787132,0.000881977107787132,0.00045591818856659,0.00045591818856659
"12",1000,1,5,0,0.1,1.1,3,0.0897,0.00348386906844913,40.0724628895876,0.0401125754650526,570.110407619608,0.570681088708316,1.06652634540657,1.06652634540657,1.15591622868643,1.15591622868643,1.17660672963209,1.17660672963209,1.32652900714017,0.00147135750113908,0.733150272937523,0.789322161868703,0.682700451044209,1.49176742413781,0.270167373796623,1.39472085331559,0.00154746035128862,1.63082597265169,NA,0.000503620944444625,0.000503620944444625,0.000114964145796671,0.000114964145796671,4.05475262660589e-05,4.05475262660589e-05
"13",100,5,5,0,0.1,1.1,3,0.08095,0.039491520322579,63.4995505571823,0.6414096015877,58.9038952420263,0.594988840828548,0.983926835819701,0.983926835819701,1.13843054092998,1.13843054092998,1.17954399224405,1.17954399224405,1.49583641734883,0.014910888872113,0.622132792492954,0.570260083017623,0.61444599941219,1.39320038329751,0.316807296752336,1.91067835132901,0.014263408760268,1.52321661499242,NA,0.012234550473115,0.012234550473115,0.00101069364842666,0.00101069364842666,0.00239071206647464,0.00239071206647464
"14",500,5,5,0,0.1,1.1,3,0.0595,0.0132439632448347,67.2274205637751,0.134724289706964,402.342628439299,0.806297852583766,1.11957104800868,1.11957104800868,1.14127819222166,1.14127819222166,1.18071630259718,1.18071630259718,2.56299494049717,0.00372740705508547,0.734466751127462,0.624536112818105,0.677574768694619,2.42494150967146,0.258338918411218,2.55868865821412,0.00431947466181149,2.01082109831655,NA,0.00207726243773108,0.00207726243773108,0.000637931848101978,0.000637931848101978,9.93055186756414e-05,9.93055186756415e-05
