"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.5,0.5,0.237373737373737,0.237373737373737,0.429292929292929,0.429292929292929,0.747474747474748,0.747474747474748,0.373737373737374,0.373737373737374,0.542929292929293,0.542929292929293,0.454545454545455,0.277777777777778,NA,NA,NA,0.643939393939394,NA,0.358585858585859,0.186868686868687,0.207070707070707,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"2",500,1,2,0,0.1,1.1,3,0.0415831663326653,0.0450901803607214,0.062124248496994,0.062124248496994,0.0551102204408818,0.0551102204408818,0.460420841683367,0.460420841683367,0.392785571142285,0.392785571142285,0.152805611222445,0.152805611222445,0.49498997995992,0.223446893787575,NA,NA,NA,0.0651302605210421,NA,0.217434869739479,0.19438877755511,0.144288577154309,0.0450901803607214,0.0450901803607214,0.0450901803607214,0.0450901803607214,0.0450901803607214,0.0450901803607214,0.0450901803607214
"3",1000,1,2,0,0.1,1.1,3,0.565815815815816,0.564564564564564,0.5005005005005,0.5005005005005,0.538538538538539,0.538538538538539,0.245745745745746,0.245745745745746,0.193193193193193,0.193193193193193,0.74024024024024,0.74024024024024,0.735735735735736,0.787287287287287,NA,NA,NA,0.560560560560561,NA,0.516016016016016,0.486736736736737,0.502502502502503,0.564564564564564,0.564564564564564,0.564564564564564,0.564564564564564,0.564564564564564,0.564564564564564,0.564564564564564
"4",100,5,2,0,0.1,1.1,3,0.577894736842105,0.578947368421053,0.478421052631579,0.478421052631579,0.534736842105263,0.534736842105263,0.47,0.47,0.311578947368421,0.311578947368421,0.372631578947368,0.372631578947368,0.439473684210526,0.583684210526316,NA,NA,NA,0.488421052631579,NA,0.523157894736842,0.582105263157895,0.494736842105263,0.578947368421053,0.578947368421053,0.578947368421053,0.578947368421053,0.578947368421053,0.578947368421053,0.578947368421053
"5",500,5,2,0,0.1,1.1,3,0.499090909090909,0.493535353535353,0.483434343434343,0.483434343434343,0.489292929292929,0.489292929292929,0.652121212121212,0.652121212121212,0.519090909090909,0.519090909090909,0.373232323232323,0.373232323232323,0.435858585858586,0.526666666666667,NA,NA,NA,0.51020202020202,NA,0.437979797979798,0.557171717171717,0.526060606060606,0.493737373737374,0.493333333333333,0.493333333333333,0.493333333333333,0.493333333333333,0.493333333333333,0.493333333333333
"6",1000,5,2,0,0.1,1.1,3,0.660251256281407,0.659597989949749,0.660502512562814,0.660502512562814,0.68713567839196,0.68713567839196,0.509447236180904,0.509447236180904,0.451206030150754,0.451206030150754,0.53070351758794,0.53070351758794,0.491155778894472,0.692964824120603,NA,NA,NA,0.647889447236181,NA,0.657788944723618,0.728844221105528,0.570653266331658,0.659698492462311,0.659597989949749,0.659597989949749,0.659597989949749,0.659597989949749,0.659597989949749,0.659597989949749
"7",100,10,2,0,0.1,1.1,3,0.395,0.389444444444444,0.415555555555556,0.415555555555556,0.393333333333333,0.393333333333333,0.474444444444444,0.474444444444444,0.501388888888889,0.501388888888889,0.415,0.415,0.471388888888889,0.448333333333333,NA,NA,NA,0.469166666666667,NA,0.5825,0.472222222222222,0.3725,0.388888888888889,0.388333333333333,0.388333333333333,0.388333333333333,0.388333333333333,0.388333333333333,0.388333333333333
"8",500,10,2,0,0.1,1.1,3,0.549081632653061,0.551734693877551,0.542244897959184,0.542244897959184,0.556122448979592,0.556122448979592,0.504438775510204,0.504438775510204,0.569183673469388,0.569183673469388,0.544336734693878,0.544336734693878,0.585051020408163,0.545612244897959,NA,NA,NA,0.561632653061225,NA,0.582244897959184,0.485204081632653,0.558367346938776,0.551734693877551,0.551632653061225,0.551632653061225,0.551632653061225,0.551632653061225,0.551632653061225,0.551632653061225
"9",1000,10,2,0,0.1,1.1,3,0.525656565656566,0.525959595959596,0.526212121212121,0.526212121212121,0.526464646464647,0.526464646464647,0.394520202020202,0.394520202020202,0.379393939393939,0.379393939393939,0.603560606060606,0.603560606060606,0.510858585858586,0.426313131313131,NA,NA,NA,0.526616161616162,NA,0.533939393939394,0.509090909090909,0.503131313131313,0.525959595959596,0.525959595959596,0.525959595959596,0.525959595959596,0.525959595959596,0.525959595959596,0.525959595959596
"10",100,1,5,0,0.1,1.1,3,0.272727272727273,0.353535353535354,0.348484848484848,0.348484848484848,0.348484848484848,0.348484848484848,0.292929292929293,0.292929292929293,0.262626262626263,0.262626262626263,0.237373737373737,0.237373737373737,0.333333333333333,0.358585858585859,0.414141414141414,0.813131313131313,0.833333333333333,0.328282828282828,0.671717171717172,0.378787878787879,0.404040404040404,0.358585858585859,NA,0.404040404040404,0.404040404040404,0.398989898989899,0.398989898989899,0.393939393939394,0.393939393939394
"11",500,1,5,0,0.1,1.1,3,0.477955911823647,0.662324649298597,0.666332665330661,0.666332665330661,0.662324649298597,0.662324649298597,0.608216432865732,0.608216432865732,0.550100200400802,0.550100200400802,0.613226452905812,0.613226452905812,0.691382765531062,0.669338677354709,0.55310621242485,0.479959919839679,0.289579158316633,0.675350701402806,0.351703406813627,0.759519038076152,0.605210420841683,0.385771543086172,NA,0.653306613226453,0.653306613226453,0.647294589178357,0.647294589178357,0.650300601202405,0.650300601202405
"12",1000,1,5,0,0.1,1.1,3,0.387887887887888,0.345345345345345,0.267767767767768,0.267767767767768,0.268268268268268,0.268268268268268,0.44994994994995,0.44994994994995,0.363363363363363,0.363363363363363,0.31031031031031,0.31031031031031,0.246246246246246,0.328828828828829,0.0633133133133133,0.641641641641642,0.414914914914915,0.223723723723724,0.296296296296296,0.319319319319319,0.345345345345345,0.314064064064064,NA,0.25025025025025,0.25025025025025,0.305805805805806,0.305805805805806,0.402402402402402,0.402402402402402
"13",100,5,5,0,0.1,1.1,3,0.582105263157895,0.421052631578947,0.417894736842105,0.417894736842105,0.416842105263158,0.416842105263158,0.377894736842105,0.377894736842105,0.435789473684211,0.435789473684211,0.41578947368421,0.41578947368421,0.470526315789474,0.370526315789474,0.512105263157895,0.51,0.48,0.413157894736842,0.496842105263158,0.462631578947368,0.405263157894737,0.438947368421053,NA,0.423157894736842,0.423157894736842,0.417894736842105,0.417894736842105,0.423157894736842,0.423157894736842
"14",500,5,5,0,0.1,1.1,3,0.493535353535353,0.494141414141414,0.492929292929293,0.492929292929293,0.491313131313131,0.491313131313131,0.481818181818182,0.481818181818182,0.614141414141414,0.614141414141414,0.478787878787879,0.478787878787879,0.508686868686869,0.405656565656566,0.385454545454545,0.56040404040404,0.614343434343434,0.49050505050505,0.575757575757576,0.417575757575758,0.485252525252525,0.471313131313131,NA,0.488888888888889,0.488888888888889,0.495353535353535,0.495353535353535,0.495959595959596,0.495959595959596
"15",1000,5,5,0,0.1,1.1,3,0.431306532663317,0.404321608040201,0.433768844221106,0.433768844221106,0.427939698492462,0.427939698492462,0.474070351758794,0.474070351758794,0.54251256281407,0.54251256281407,0.376683417085427,0.376683417085427,0.46070351758794,0.407035175879397,0.588492462311558,0.479095477386935,0.418291457286432,0.420100502512563,0.374070351758794,0.433266331658291,0.466331658291457,0.412663316582915,NA,0.414974874371859,0.414974874371859,0.418391959798995,0.418391959798995,0.427035175879397,0.427035175879397
"16",100,10,5,0,0.1,1.1,3,0.493611111111111,0.477777777777778,0.487222222222222,0.487222222222222,0.487777777777778,0.487777777777778,0.48,0.48,0.527777777777778,0.527777777777778,0.476666666666667,0.476666666666667,0.493055555555556,0.483888888888889,0.4625,0.391944444444444,0.558333333333333,0.491388888888889,0.581944444444444,0.454444444444444,0.474444444444444,0.486944444444444,NA,0.507222222222222,0.507222222222222,0.512222222222222,0.512222222222222,0.506666666666667,0.506666666666667
"17",500,10,5,0,0.1,1.1,3,0.463571428571429,0.623265306122449,0.59234693877551,0.59234693877551,0.596632653061224,0.596632653061224,0.56969387755102,0.56969387755102,0.569183673469388,0.569183673469388,0.601428571428571,0.601428571428571,0.599387755102041,0.564387755102041,0.566734693877551,0.579285714285714,0.423673469387755,0.616632653061225,0.50030612244898,0.567448979591837,0.578673469387755,0.594183673469388,NA,0.601632653061224,0.601632653061224,0.614285714285714,0.614285714285714,0.63265306122449,0.63265306122449
"18",1000,10,5,0,0.1,1.1,3,0.483762626262626,0.529545454545455,0.563383838383838,0.563383838383838,0.562828282828283,0.562828282828283,0.563080808080808,0.563080808080808,0.563888888888889,0.563888888888889,0.558080808080808,0.558080808080808,0.574494949494949,0.585555555555556,0.501060606060606,0.503434343434343,0.325656565656566,0.557676767676768,0.370555555555556,0.597070707070707,0.557676767676768,0.517979797979798,NA,0.552272727272727,0.552272727272727,0.538484848484848,0.538484848484848,0.484646464646465,0.484646464646465
"19",100,1,11,0,0.1,1.1,3,0.464646464646465,0.611111111111111,0.611111111111111,0.611111111111111,0.621212121212121,0.621212121212121,0.454545454545455,0.454545454545455,0.601010101010101,0.601010101010101,0.47979797979798,0.47979797979798,0.616161616161616,0.53030303030303,0.54040404040404,0.535353535353535,0.742424242424242,0.626262626262626,0.712121212121212,0.681818181818182,0.621212121212121,0.55050505050505,NA,0.515151515151515,0.515151515151515,0.494949494949495,0.494949494949495,0.434343434343434,0.434343434343434
"20",500,1,11,0,0.1,1.1,3,0.75250501002004,0.698396793587174,0.685370741482966,0.685370741482966,0.681362725450902,0.681362725450902,0.670340681362726,0.670340681362726,0.711422845691383,0.711422845691383,0.64128256513026,0.64128256513026,0.672344689378757,0.709418837675351,0.588176352705411,0.532064128256513,0.794589178356713,0.711422845691383,0.799599198396794,0.714428857715431,0.51503006012024,0.691382765531062,NA,0.69939879759519,0.69939879759519,0.680360721442886,0.680360721442886,0.651302605210421,0.651302605210421
"21",1000,1,11,0,0.1,1.1,3,0.409409409409409,0.38038038038038,0.368368368368368,0.368368368368368,0.369369369369369,0.369369369369369,0.384384384384384,0.384384384384384,0.325325325325325,0.325325325325325,0.384384384384384,0.384384384384384,0.376876876876877,0.368868868868869,0.312812812812813,0.364864864864865,0.353853853853854,0.36036036036036,0.326326326326326,0.372372372372372,0.411161161161161,0.427427427427427,NA,0.356356356356356,0.356356356356356,0.391891891891892,0.391891891891892,0.403403403403403,0.403403403403403
"22",100,5,11,0,0.1,1.1,3,0.507894736842105,0.494736842105263,0.489473684210526,0.489473684210526,0.496842105263158,0.496842105263158,0.467368421052632,0.467368421052632,0.454736842105263,0.454736842105263,0.481578947368421,0.481578947368421,0.483157894736842,0.487894736842105,0.683157894736842,0.574736842105263,0.461578947368421,0.504210526315789,0.504210526315789,0.506315789473684,0.465263157894737,0.496842105263158,NA,0.475789473684211,0.475789473684211,0.465263157894737,0.465263157894737,0.465263157894737,0.465263157894737
"23",500,5,11,0,0.1,1.1,3,0.378080808080808,0.51010101010101,0.483636363636364,0.483636363636364,0.484040404040404,0.484040404040404,0.467878787878788,0.467878787878788,0.512929292929293,0.512929292929293,0.46949494949495,0.46949494949495,0.478181818181818,0.480808080808081,0.406262626262626,0.608888888888889,0.565252525252525,0.48040404040404,0.555959595959596,0.449090909090909,0.500606060606061,0.494949494949495,NA,0.478787878787879,0.478787878787879,0.502828282828283,0.502828282828283,0.505656565656566,0.505656565656566
"24",1000,5,11,0,0.1,1.1,3,0.469497487437186,0.46643216080402,0.459597989949749,0.459597989949749,0.459597989949749,0.459597989949749,0.471658291457286,0.471658291457286,0.559798994974874,0.559798994974874,0.471658291457286,0.471658291457286,0.471557788944724,0.479195979899497,0.485125628140703,0.467035175879397,0.430050251256281,0.454572864321608,0.454371859296482,0.485628140703518,0.443316582914573,0.487437185929648,NA,0.455577889447236,0.455577889447236,0.454773869346734,0.454773869346734,0.445427135678392,0.445427135678392
"25",100,10,11,0,0.1,1.1,3,0.4225,0.540555555555556,0.48,0.48,0.469444444444444,0.469444444444444,0.459444444444444,0.459444444444444,0.559444444444444,0.559444444444444,0.500555555555556,0.500555555555556,0.482777777777778,0.447222222222222,0.403888888888889,0.428055555555556,0.414722222222222,0.476944444444444,0.425,0.443888888888889,0.465555555555556,0.501111111111111,NA,0.451111111111111,0.451111111111111,0.458333333333333,0.458333333333333,0.488888888888889,0.488888888888889
"26",500,10,11,0,0.1,1.1,3,0.565357142857143,0.590102040816326,0.559285714285714,0.559285714285714,0.559183673469388,0.559183673469388,0.581020408163265,0.581020408163265,0.488877551020408,0.488877551020408,0.585102040816327,0.585102040816327,0.537448979591837,0.561632653061224,0.538775510204082,0.478010204081633,0.347295918367347,0.559795918367347,0.441734693877551,0.563163265306122,0.56530612244898,0.549387755102041,NA,0.552040816326531,0.552040816326531,0.555204081632653,0.555204081632653,0.575714285714286,0.575714285714286
"27",1000,10,11,0,0.1,1.1,3,0.459267676767677,0.500151515151515,0.497828282828283,0.497828282828283,0.498989898989899,0.498989898989899,0.480909090909091,0.480909090909091,0.493636363636364,0.493636363636364,0.480909090909091,0.480909090909091,0.495959595959596,0.483636363636364,0.532272727272727,0.483636363636364,0.538282828282828,0.503232323232323,0.528282828282828,0.529494949494949,0.481010101010101,0.511969696969697,NA,0.501565656565657,0.501565656565657,0.512171717171717,0.512171717171717,0.538535353535354,0.538535353535354
"28",100,1,17,0,0.1,1.1,3,0.141414141414141,0.0656565656565657,0.0656565656565656,0.0656565656565656,0.0707070707070707,0.0707070707070707,0,0,0.542929292929293,0.542929292929293,0.297979797979798,0.297979797979798,0.0858585858585859,0.101010101010101,0.464646464646465,0.515151515151515,0.439393939393939,0.0909090909090909,0.196969696969697,0.095959595959596,0.0681818181818182,0.0505050505050505,NA,NA,NA,NA,NA,NA,NA
"29",500,1,17,0,0.1,1.1,3,0.137775551102204,0.177354709418838,0.2374749498998,0.2374749498998,0.2374749498998,0.2374749498998,0.263527054108216,0.263527054108216,0.270541082164329,0.270541082164329,0.454909819639279,0.454909819639279,0.212424849699399,0.273547094188377,0.44188376753507,0.312625250501002,0.427855711422846,0.249498997995992,0.2374749498998,0.217434869739479,0.259519038076152,0.186372745490982,NA,0.312625250501002,0.312625250501002,0.264529058116232,0.264529058116232,0.2374749498998,0.2374749498998
"30",1000,1,17,0,0.1,1.1,3,0.774024024024024,0.239239239239239,0.393893893893894,0.393893893893894,0.395395395395395,0.395395395395395,0.444944944944945,0.444944944944945,0.597597597597598,0.597597597597598,0.491491491491492,0.491491491491492,0.432432432432432,0.411411411411411,0.220720720720721,0.28028028028028,0.474974974974975,0.397897897897898,0.407407407407407,0.40990990990991,0.432932932932933,0.364364364364364,NA,0.445445445445445,0.445445445445445,0.332332332332332,0.332332332332332,0.287787787787788,0.287787787787788
"31",100,5,17,0,0.1,1.1,3,0.525263157894737,0.548421052631579,0.551578947368421,0.551578947368421,0.56,0.56,0.281052631578947,0.281052631578947,0.527368421052632,0.527368421052632,0.528421052631579,0.528421052631579,0.57421052631579,0.567368421052632,0.478421052631579,0.568421052631579,0.477894736842105,0.559473684210526,0.544210526315789,0.566315789473684,0.542105263157895,0.558947368421053,NA,NA,NA,NA,NA,NA,NA
"32",500,5,17,0,0.1,1.1,3,0.483434343434343,0.565656565656566,0.536161616161616,0.536161616161616,0.534141414141414,0.534141414141414,0.531717171717172,0.531717171717172,0.536363636363636,0.536363636363636,0.528080808080808,0.528080808080808,0.557575757575758,0.51959595959596,0.485555555555556,0.488888888888889,0.470707070707071,0.533131313131313,0.503030303030303,0.54040404040404,0.543434343434343,0.547474747474747,NA,0.524444444444444,0.524444444444444,0.52,0.52,0.516767676767677,0.516767676767677
"33",1000,5,17,0,0.1,1.1,3,0.498743718592965,0.437989949748744,0.440804020100503,0.440804020100503,0.440804020100503,0.440804020100503,0.418190954773869,0.418190954773869,0.428844221105528,0.428844221105528,0.390552763819095,0.390552763819095,0.450954773869347,0.456381909547739,0.540402010050251,0.515276381909548,0.504522613065327,0.444422110552764,0.443618090452261,0.403115577889447,0.4478391959799,0.418844221105528,NA,0.465226130653266,0.465226130653266,0.449346733668342,0.449346733668342,0.44391959798995,0.44391959798995
"34",100,10,17,0,0.1,1.1,3,0.464166666666667,0.478888888888889,0.476666666666667,0.476666666666667,0.476666666666667,0.476666666666667,0.365833333333333,0.365833333333333,0.518055555555556,0.518055555555556,0.445555555555556,0.445555555555556,0.475833333333333,0.483055555555556,0.482222222222222,0.423888888888889,0.497777777777778,0.474166666666667,0.476666666666667,0.463055555555556,0.474166666666667,0.465,NA,NA,NA,NA,NA,NA,NA
