"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","roc_cook_avg_diff_net_high","roc_cook_avg_diff_net_low","roc_cook_avg_high","roc_cook_avg_low","roc_cook_max_diff_net_high","roc_cook_max_diff_net_low","roc_cook_max_high","roc_cook_max_low","roc_cook_med_diff_net_high","roc_cook_med_diff_net_low","roc_cook_med_high","roc_cook_med_low","roc_DPCC_high","roc_DPCC_low","roc_KNN_5_sqrt_N_diff_net_high","roc_KNN_5_sqrt_N_diff_net_low","roc_KNN_5_sqrt_N_high","roc_KNN_5_sqrt_N_low","roc_KNN_log_N_P_diff_net_high","roc_KNN_log_N_P_diff_net_low","roc_KNN_log_N_P_high","roc_KNN_log_N_P_low","roc_Loo_high","roc_Loo_low","roc_Loo_multi_high","roc_Loo_multi_low","roc_optics_k_5_diff_net_high","roc_optics_k_5_diff_net_low","roc_optics_k_5_high","roc_optics_k_5_low","roc_optics_k_mean_diff_net_high","roc_optics_k_mean_diff_net_low","roc_optics_k_mean_high","roc_optics_k_mean_low","roc_optics_sqrt_n_diff_net_high","roc_optics_sqrt_n_diff_net_low","roc_optics_sqrt_n_high","roc_optics_sqrt_n_low","roc_OTS_cosine_high","roc_OTS_cosine_low","roc_OTS_cosine_med_high","roc_OTS_cosine_med_low","roc_OTS_diff_net_cosine_high","roc_OTS_diff_net_cosine_low","roc_OTS_diff_net_high","roc_OTS_diff_net_low","roc_OTS_euc_med_high","roc_OTS_euc_med_low","roc_OTS_glob_avg_OTS_high","roc_OTS_glob_avg_OTS_low","roc_OTS_high","roc_OTS_low","roc_spoutlier_diff_net_high","roc_spoutlier_diff_net_low","roc_spoutlier_diff_net_norm_high","roc_spoutlier_diff_net_norm_low","roc_spoutlier_high","roc_spoutlier_low"
"1",100,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",500,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1000,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",100,5,2,0,0.1,1.1,3,0.123509777401819,0.740743912990434,0.1294208487408,0.742158098627621,0.101835683677602,0.769776637226911,0.101835683677602,0.769776637226911,0.0917727429297739,0.742022733877021,0.0917727429297739,0.742022733877021,0.16432052585948,0.732521579403677,0.16432052585948,0.732521579403677,0.192154440579533,0.661749544954567,0.192154440579533,0.661749544954567,0.269375555429805,0.721340504749179,0.269375555429805,0.721340504749179,0.340575742208559,0.792055836738809,0.176395899114385,0.754820096959394,NA,NA,NA,NA,NA,NA,0.0441149110046288,0.712907578552938,NA,NA,0.205209694153724,0.828474516372592,0.240485856370528,0.845652644786078,0.240453364537904,0.542096311428873,0.130587333639062,0.736781087413569,0.1294208487408,0.742158098627621,0.1294208487408,0.742158098627621,0.1294208487408,0.742158098627621,0.1294208487408,0.742158098627621,0.1294208487408,0.742158098627621,0.1294208487408,0.742158098627621
"5",500,5,2,0,0.1,1.1,3,0.23946231572226,0.791707289157124,0.237751400293361,0.790738599572005,0.292711671317738,0.751328732722666,0.292711671317738,0.751328732722666,0.248424686050429,0.770269619089981,0.248424686050429,0.770269619089981,0.162517531308637,0.541491068325556,0.162517531308637,0.541491068325556,0.138989801620426,0.53917797524883,0.138989801620426,0.53917797524883,0.303151444492947,0.794131738298143,0.303151444492947,0.794131738298143,0.195281475016174,0.775292437922885,0.280152779169926,0.837040889775702,NA,NA,NA,NA,NA,NA,0.237648641311952,0.805133677737845,NA,NA,0.159006306988225,0.802609854627936,0.219430504564759,0.791478586344332,0.19726301000652,0.693242040498531,0.237751400293361,0.790738599572005,0.237751400293361,0.790738599572005,0.237751400293361,0.790738599572005,0.237751400293361,0.790738599572005,0.237751400293361,0.790738599572005,0.237751400293361,0.790738599572005,0.237751400293361,0.790738599572005
"6",1000,5,2,0,0.1,1.1,3,0.174548034626525,0.663438740984132,0.177373233887652,0.66519293554785,0.233530782282544,0.760087368093847,0.233530782282544,0.760087368093847,0.21091305695518,0.701045844125296,0.21091305695518,0.701045844125296,0.141618091812384,0.581290379230826,0.141618091812384,0.581290379230826,0.0712635248970445,0.501314436175478,0.0712635248970445,0.501314436175478,0.219280344208311,0.637805082927367,0.219280344208311,0.637805082927367,0.363702131857982,0.781222491257596,0.217562757457951,0.70786437822044,NA,NA,NA,NA,NA,NA,0.260720977511344,0.710937313945943,NA,NA,0.337024323219963,0.73214250516751,0.0938275675917718,0.497931226378077,0.104786126345298,0.714302165186679,0.177373233887652,0.665566397364625,0.177373233887652,0.665444110272929,0.177373233887652,0.665444110272929,0.177373233887652,0.665444110272929,0.177373233887652,0.665444110272929,0.177373233887652,0.665444110272929,0.177373233887652,0.665444110272929
"7",100,10,2,0,0.1,1.1,3,0.437274332498281,0.819880080989088,0.439199535928751,0.81730010375551,0.379410833045133,0.797730202846265,0.379410833045133,0.797730202846265,0.377131300401546,0.807313144042899,0.377131300401546,0.807313144042899,0.3759780762528,0.71137510057978,0.3759780762528,0.71137510057978,0.228201472839829,0.604020749382393,0.228201472839829,0.604020749382393,0.34186095380921,0.714730963492133,0.34186095380921,0.714730963492133,0.351511042472654,0.745155624194013,0.333299565241297,0.762663255678068,NA,NA,NA,NA,NA,NA,0.356208874114361,0.763791125885639,NA,NA,0.304236243885701,0.734456960815773,0.284880490787995,0.749563953656449,0.370683474274885,0.745983192391782,0.437888716394526,0.81730010375551,0.435850358247515,0.81730010375551,0.435850358247515,0.81730010375551,0.435850358247515,0.81730010375551,0.435850358247515,0.81730010375551,0.435850358247515,0.81730010375551,0.435850358247515,0.81730010375551
"8",500,10,2,0,0.1,1.1,3,0.465502133198692,0.819191744352328,0.467669937361462,0.820085164679354,0.352983360931539,0.803351891787932,0.352983360931539,0.803351891787932,0.443473529156386,0.818016443934977,0.443473529156386,0.818016443934977,0.284018463855258,0.737206025940661,0.284018463855258,0.737206025940661,0.238447260342538,0.684001719249299,0.238447260342538,0.684001719249299,0.339741020800545,0.764353295452867,0.339741020800545,0.764353295452867,0.450876097430445,0.793613698487923,0.435629769265218,0.825690789870338,NA,NA,NA,NA,NA,NA,0.457895748559502,0.821129431634564,NA,NA,0.490046458853963,0.867096398288894,0.328948777014784,0.777577737371895,0.287777615099385,0.714671364492452,0.467669937361462,0.820085164679354,0.467669937361462,0.820085164679354,0.467669937361462,0.820085164679354,0.467669937361462,0.820085164679354,0.467669937361462,0.820085164679354,0.467669937361462,0.820085164679354,0.467669937361462,0.820085164679354
"9",1000,10,2,0,0.1,1.1,3,0.327579417094094,0.714642805128128,0.333242768371814,0.714433999304954,0.276986390867144,0.657282522022677,0.276986390867144,0.657282522022677,0.301996116265593,0.686743056768244,0.301996116265593,0.686743056768244,0.279519620552615,0.596237955204961,0.279519620552615,0.596237955204961,0.269266146660041,0.588814661420767,0.269266146660041,0.588814661420767,0.39435703020044,0.739582363738954,0.39435703020044,0.739582363738954,0.348124130522351,0.675817324732616,0.387466462908527,0.731321415879352,NA,NA,NA,NA,NA,NA,0.311998928349531,0.697091980741378,NA,NA,0.390924140459437,0.712510202974906,0.370393580771103,0.729606419228897,0.281755893068918,0.704304712991688,0.333242768371814,0.714433999304954,0.333242768371814,0.714433999304954,0.333242768371814,0.714433999304954,0.333242768371814,0.714433999304954,0.333242768371814,0.714433999304954,0.333242768371814,0.714433999304954,0.333242768371814,0.714433999304954
"10",100,1,5,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
