"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","roc_cook_avg_diff_net_high","roc_cook_avg_diff_net_low","roc_cook_avg_high","roc_cook_avg_low","roc_cook_max_diff_net_high","roc_cook_max_diff_net_low","roc_cook_max_high","roc_cook_max_low","roc_cook_med_diff_net_high","roc_cook_med_diff_net_low","roc_cook_med_high","roc_cook_med_low","roc_DPCC_high","roc_DPCC_low","roc_KNN_5_sqrt_N_diff_net_high","roc_KNN_5_sqrt_N_diff_net_low","roc_KNN_5_sqrt_N_high","roc_KNN_5_sqrt_N_low","roc_KNN_log_N_P_diff_net_high","roc_KNN_log_N_P_diff_net_low","roc_KNN_log_N_P_high","roc_KNN_log_N_P_low","roc_Loo_high","roc_Loo_low","roc_Loo_multi_high","roc_Loo_multi_low","roc_optics_k_5_diff_net_high","roc_optics_k_5_diff_net_low","roc_optics_k_5_high","roc_optics_k_5_low","roc_optics_k_mean_diff_net_high","roc_optics_k_mean_diff_net_low","roc_optics_k_mean_high","roc_optics_k_mean_low","roc_optics_sqrt_n_diff_net_high","roc_optics_sqrt_n_diff_net_low","roc_optics_sqrt_n_high","roc_optics_sqrt_n_low","roc_OTS_cosine_high","roc_OTS_cosine_low","roc_OTS_cosine_med_high","roc_OTS_cosine_med_low","roc_OTS_diff_net_cosine_high","roc_OTS_diff_net_cosine_low","roc_OTS_diff_net_high","roc_OTS_diff_net_low","roc_OTS_euc_med_high","roc_OTS_euc_med_low","roc_OTS_glob_avg_OTS_high","roc_OTS_glob_avg_OTS_low","roc_OTS_high","roc_OTS_low","roc_spoutlier_diff_net_high","roc_spoutlier_diff_net_low","roc_spoutlier_diff_net_norm_high","roc_spoutlier_diff_net_norm_low","roc_spoutlier_high","roc_spoutlier_low"
"1",100,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",500,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1000,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",100,5,2,0,0.1,1.1,3,0.206938730003208,0.719377059470476,0.208055154674284,0.72247116111519,0.141461307786239,0.761320873825692,0.141461307786239,0.761320873825692,0.175513202130934,0.755527131290834,0.175513202130934,0.755527131290834,0.153876909432761,0.756523134025751,0.153876909432761,0.756523134025751,0.165955239871079,0.726931530867404,0.165955239871079,0.726931530867404,0.0896368623085193,0.69667833081104,0.0896368623085193,0.69667833081104,0.206558510935583,0.73538394111105,0.321175917360724,0.792964136656543,NA,NA,NA,NA,NA,NA,0.110799701705957,0.606671815354156,NA,NA,0.117546356480971,0.690511285218222,0.260702608075416,0.7871597062032,0.194693342950564,0.707036195103586,0.207467217249666,0.727269624855598,0.208055154674284,0.72247116111519,0.208055154674284,0.72247116111519,0.208055154674284,0.72247116111519,0.208055154674284,0.72247116111519,0.208055154674284,0.72247116111519,0.208055154674284,0.72247116111519
"5",500,5,2,0,0.1,1.1,3,0.378270629385635,0.82391044304157,0.371272342957342,0.827190354179636,0.387218734503983,0.845828330056172,0.387218734503983,0.845828330056172,0.3436980278852,0.853636154025227,0.3436980278852,0.853636154025227,0.166523048277931,0.674793522249949,0.166523048277931,0.674793522249949,0.0979732890291909,0.70658337934301,0.0979732890291909,0.70658337934301,0.212746059353669,0.743195513923428,0.212746059353669,0.743195513923428,0.265613051942462,0.85813844351836,0.264277629461849,0.814429371548322,NA,NA,NA,NA,NA,NA,0.285530457824704,0.804218073452656,NA,NA,0.269470053904267,0.838259595010614,0.3564077860763,0.777095846529056,0.319060301515665,0.792674352999926,0.371272342957342,0.827190354179636,0.370990686049132,0.82771745909511,0.370990686049132,0.82771745909511,0.370990686049132,0.82771745909511,0.370990686049132,0.82771745909511,0.370990686049132,0.82771745909511,0.370990686049132,0.82771745909511
"6",1000,5,2,0,0.1,1.1,3,0.312689642738674,0.745110636835884,0.311894154758337,0.743326722103003,0.312765027818156,0.72425522920418,0.312765027818156,0.72425522920418,0.281724997626007,0.701993595338817,0.281724997626007,0.701993595338817,0.159786091329746,0.676503736013889,0.159786091329746,0.676503736013889,0.158362381251905,0.623886599252755,0.158362381251905,0.623886599252755,0.0691889229252459,0.627494494160181,0.0691889229252459,0.627494494160181,0.223989492598793,0.730219552218721,0.272379774261206,0.820435873174218,NA,NA,NA,NA,NA,NA,0.229882771516007,0.78858523705217,NA,NA,0.341894185596598,0.789677684364335,0.309132386146088,0.724877544236181,0.262145677407705,0.647603382826428,0.311894154758337,0.743326722103003,0.311894154758337,0.743326722103003,0.311894154758337,0.743326722103003,0.311894154758337,0.743326722103003,0.311894154758337,0.743326722103003,0.311894154758337,0.743326722103003,0.311894154758337,0.743326722103003
"7",100,10,2,0,0.1,1.1,3,0.264216101600724,0.644429656173118,0.269511142076214,0.646031657339768,0.268004616992001,0.651524436092324,0.268004616992001,0.651524436092324,0.237265200963368,0.635412299402418,0.237265200963368,0.635412299402418,0.237640403212593,0.540820921543293,0.237640403212593,0.540820921543293,0.18484197811087,0.567380244111352,0.18484197811087,0.567380244111352,0.252864252249866,0.611451525163046,0.252864252249866,0.611451525163046,0.252767856750674,0.668767516378117,0.338036083937752,0.741963916062248,NA,NA,NA,NA,NA,NA,0.274287833351157,0.634601055537732,NA,NA,0.331190804416423,0.729920306694688,0.356795476596438,0.785613200088553,0.269966001269657,0.708922887619232,0.269511142076214,0.646031657339768,0.269511142076214,0.646031657339768,0.269511142076214,0.646031657339768,0.269511142076214,0.646031657339768,0.269511142076214,0.646031657339768,0.269511142076214,0.646031657339768,0.269511142076214,0.646031657339768
"8",500,10,2,0,0.1,1.1,3,0.293675089327971,0.63982267417693,0.290806483375956,0.640303934383951,0.315387883551065,0.672367218489752,0.315387883551065,0.672367218489752,0.307166002641914,0.653279600267274,0.307166002641914,0.653279600267274,0.276245413537737,0.553311520533445,0.276245413537737,0.553311520533445,0.149355189432155,0.570610976692279,0.149355189432155,0.570610976692279,0.216077594875836,0.596382975301321,0.216077594875836,0.596382975301321,0.324974892361904,0.680725532098157,0.313610576800236,0.673092929575346,NA,NA,NA,NA,NA,NA,0.265828959109845,0.663816992345122,NA,NA,0.340612522273627,0.659387477726373,0.266013126295038,0.612398365239638,0.291396699462562,0.642305560337197,0.290806483375956,0.640303934383951,0.29014149928761,0.640400882317876,0.29014149928761,0.640400882317876,0.29014149928761,0.640400882317876,0.29014149928761,0.640400882317876,0.29014149928761,0.640400882317876,0.29014149928761,0.640400882317876
"9",1000,10,2,0,0.1,1.1,3,0.237575285527903,0.659104534759925,0.237871062519009,0.660039557316089,0.266083070596968,0.675801666916325,0.266083070596968,0.675801666916325,0.258152432585453,0.625128309600835,0.258152432585453,0.625128309600835,0.25255318154534,0.658254179153702,0.25255318154534,0.658254179153702,0.240348323340179,0.600261895319503,0.240348323340179,0.600261895319503,0.237039849265646,0.623779523374827,0.237039849265646,0.623779523374827,0.305837951381205,0.715351633710321,0.269957740656976,0.693953046310161,NA,NA,NA,NA,NA,NA,0.266471058524045,0.675258651293216,NA,NA,0.263786048660244,0.633251728881722,0.315601249884287,0.688120407848177,0.307430728537274,0.677300518649428,0.237871062519009,0.660039557316089,0.237493540845716,0.660185242262209,0.237493540845716,0.660185242262209,0.237493540845716,0.660185242262209,0.237493540845716,0.660185242262209,0.237493540845716,0.660185242262209,0.237493540845716,0.660185242262209
"10",100,1,5,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
