"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.313131313131313,0.313131313131313,0.484848484848485,0.484848484848485,0.424242424242424,0.424242424242424,0.54040404040404,0.54040404040404,0.535353535353535,0.535353535353535,0.414141414141414,0.414141414141414,0.373737373737374,0.383838383838384,NA,NA,NA,0.46969696969697,NA,0.313131313131313,0.464646464646465,0.363636363636364,0.313131313131313,0.323232323232323,0.323232323232323,0.323232323232323,0.323232323232323,0.323232323232323,0.323232323232323
"2",500,1,2,0,0.1,1.1,3,0.693386773547094,0.697394789579158,0.55310621242485,0.55310621242485,0.643286573146293,0.643286573146293,0.364729458917836,0.364729458917836,0.533066132264529,0.533066132264529,0.146292585170341,0.146292585170341,0.464929859719439,0.779559118236473,NA,NA,NA,0.695390781563126,NA,0.707414829659319,0.687374749498998,0.48496993987976,0.697394789579158,0.697394789579158,0.697394789579158,0.697394789579158,0.697394789579158,0.697394789579158,0.697394789579158
"3",1000,1,2,0,0.1,1.1,3,0.481481481481481,0.487487487487487,0.317317317317317,0.317317317317317,0.417417417417417,0.417417417417417,0.633133133133133,0.633133133133133,0.547547547547548,0.547547547547548,0.609109109109109,0.609109109109109,0.540540540540541,0.477477477477477,NA,NA,NA,0.441941941941942,NA,0.537537537537538,0.452452452452452,0.54954954954955,0.487487487487487,0.487487487487487,0.487487487487487,0.487487487487487,0.487487487487487,0.487487487487487,0.487487487487487
"4",100,5,2,0,0.1,1.1,3,0.501052631578947,0.501052631578947,0.55578947368421,0.55578947368421,0.511578947368421,0.511578947368421,0.430526315789474,0.430526315789474,0.5,0.5,0.448421052631579,0.448421052631579,0.572631578947368,0.593684210526316,NA,NA,NA,0.514736842105263,NA,0.482105263157895,0.488421052631579,0.548421052631579,0.501052631578947,0.498947368421053,0.498947368421053,0.498947368421053,0.498947368421053,0.498947368421053,0.498947368421053
"5",500,5,2,0,0.1,1.1,3,0.397979797979798,0.397171717171717,0.465454545454545,0.465454545454545,0.454949494949495,0.454949494949495,0.432121212121212,0.432121212121212,0.361818181818182,0.361818181818182,0.51050505050505,0.51050505050505,0.462222222222222,0.448888888888889,NA,NA,NA,0.441818181818182,NA,0.548686868686869,0.443232323232323,0.513535353535354,0.397171717171717,0.397171717171717,0.397171717171717,0.397171717171717,0.397171717171717,0.397171717171717,0.397171717171717
"6",1000,5,2,0,0.1,1.1,3,0.518190954773869,0.515778894472362,0.547336683417085,0.547336683417085,0.541507537688442,0.541507537688442,0.355979899497487,0.355979899497487,0.469145728643216,0.469145728643216,0.41608040201005,0.41608040201005,0.436381909547739,0.528241206030151,NA,NA,NA,0.523316582914573,NA,0.507939698492462,0.54713567839196,0.511758793969849,0.515778894472362,0.515778894472362,0.515778894472362,0.515778894472362,0.515778894472362,0.515778894472362,0.515778894472362
"7",100,10,2,0,0.1,1.1,3,0.447777777777778,0.445555555555556,0.454444444444444,0.454444444444444,0.426666666666667,0.426666666666667,0.503333333333333,0.503333333333333,0.446666666666667,0.446666666666667,0.462222222222222,0.462222222222222,0.425,0.517222222222222,NA,NA,NA,0.472222222222222,NA,0.459444444444444,0.476111111111111,0.453333333333333,0.445555555555556,0.445555555555556,0.445555555555556,0.445555555555556,0.445555555555556,0.445555555555556,0.445555555555556
"8",500,10,2,0,0.1,1.1,3,0.523367346938776,0.524081632653061,0.516938775510204,0.516938775510204,0.5,0.5,0.437959183673469,0.437959183673469,0.427142857142857,0.427142857142857,0.422448979591837,0.422448979591837,0.524897959183673,0.464285714285714,NA,NA,NA,0.516734693877551,NA,0.470612244897959,0.471938775510204,0.467959183673469,0.524081632653061,0.524081632653061,0.524081632653061,0.524081632653061,0.524081632653061,0.524081632653061,0.524081632653061
"9",1000,10,2,0,0.1,1.1,3,0.516616161616162,0.515959595959596,0.50010101010101,0.50010101010101,0.513939393939394,0.513939393939394,0.411868686868687,0.411868686868687,0.432878787878788,0.432878787878788,0.449848484848485,0.449848484848485,0.482525252525253,0.468787878787879,NA,NA,NA,0.506515151515151,NA,0.443131313131313,0.504848484848485,0.51479797979798,0.515959595959596,0.516161616161616,0.516161616161616,0.516161616161616,0.516161616161616,0.516161616161616,0.516161616161616
"10",100,1,5,0,0.1,1.1,3,0.474747474747475,0.525252525252525,0.474747474747475,0.474747474747475,0.484848484848485,0.484848484848485,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.575757575757576,0.656565656565657,0.217171717171717,0.373737373737374,0.474747474747475,0.676767676767677,0.444444444444444,0.525252525252525,0.545454545454545,0.474747474747475,NA,0.424242424242424,0.424242424242424,0.474747474747475,0.474747474747475,0.565656565656566,0.565656565656566
