"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","OPT_roc_Loo_multi","OPT_roc_Loo","OPT_roc_KNN_log_N_P","OPT_roc_KNN_log_N_P_diff_net","OPT_roc_KNN_5_sqrt_N","OPT_roc_KNN_5_sqrt_N_diff_net","OPT_roc_optics_k_mean","OPT_roc_optics_k_mean_diff_net","OPT_roc_optics_k_5","OPT_roc_optics_k_5_diff_net","OPT_roc_optics_sqrt_n","OPT_roc_optics_sqrt_n_diff_net","OPT_roc_OTS","OPT_roc_OTS_diff_net","OPT_roc_OTS_cosine","OPT_roc_OTS_diff_net_cosine","OPT_roc_OTS_cosine_med","OPT_roc_OTS_euc_med","OPT_roc_OTS_glob_avg_OTS","OPT_roc_spoutlier","OPT_roc_spoutlier_diff_net","OPT_roc_spoutlier_diff_net_norm","OPT_DPCC","OPT_roc_cook_max","OPT_roc_cook_max_diff_net","OPT_roc_cook_avg","OPT_roc_cook_avg_diff_net","OPT_roc_cook_med","OPT_roc_cook_med_diff_net"
"1",100,1,2,0,0.1,1.1,3,0.3067,0.004001613647593,0.278742310789236,0.00281557889686097,3.77738451426189,0.0381553991339585,1.17548657061238,1.17548657061238,1.54368310426246,1.54368310426246,1.04432055460246,1.04432055460246,0.233384781454166,0.000126444934696129,NA,NA,NA,0.0663247433796044,NA,0.010132557228805,0.000172484575341199,0.0116357853904105,0.39833664629233,0.00244889801410204,0.00244889801410204,0.00244889801410204,0.00244889801410204,0.00244889801410204,0.00244889801410204
"2",500,1,2,0,0.1,1.1,3,0.17095,0.00194182456926457,0.476900992084521,0.000955713410991023,14.3254056737953,0.0287082278031969,0.745154067768932,0.745154067768932,0.969246732239294,0.969246732239293,1.00419436470179,1.00419436470179,0.33115009872196,0.00116976213917716,NA,NA,NA,0.0606097551932801,NA,0.296257292878131,0.000190733174911511,0.0240293732823739,0.971567214241093,0.00261431767769328,0.00261431767769328,0.00261431767769328,0.00261431767769328,0.00261431767769328,0.00261431767769328
"3",1000,1,2,0,0.1,1.1,3,0.3844,0.000133020372760188,0.0469571847722845,4.70041889612458e-05,3.58636384332738,0.00358995379712451,1.44988835295761,1.44988835295762,1.38767424851237,1.38767424851237,0.969822558948619,0.969822558948619,0.0134780844359458,3.89356803853699e-05,NA,NA,NA,0.0279228036180936,NA,0.0370208665091101,2.12511274535546e-05,0.0310023000147567,0.133515372813916,3.13078393083827e-05,3.13078393083827e-05,3.13078393083827e-05,3.13078393083827e-05,3.13078393083827e-05,3.13078393083827e-05
"4",100,5,2,0,0.1,1.1,3,0.0618,0.017129195717574,2.93381655938714,0.0296345107008802,22.0644026578354,0.22287275411955,0.599203724419014,0.599203724419015,1.16387164857897,1.16387164857897,1.46516890161324,1.46516890161324,0.0647094784027085,0.000803657667121761,NA,NA,NA,0.332615367369921,NA,0.830242943166507,0.00147193234318208,0.238136237474008,1.71142272617929,0.0456403821669276,0.0456403821669276,0.0456403821669276,0.0456403821669276,0.0456403821669276,0.0456403821669276
"5",500,5,2,0,0.1,1.1,3,0.24345,0.00157206922027848,0.139595773808822,0.000279751049717079,15.118015037835,0.0302966233223146,1.06973990914697,1.06973990914697,0.96629046213893,0.96629046213893,1.02464009845108,1.02464009845108,0.0152492051776466,0.000571755902009581,NA,NA,NA,0.242604710113764,NA,0.0196463471834097,2.72769103383461e-05,0.143644661636157,0.785712843601228,0.00215417204078796,0.00215417204078796,0.00215417204078796,0.00215417204078796,0.00215417204078796,0.00215417204078796
"6",1000,5,2,0,0.1,1.1,3,0.24225,0.000450776997500676,0.0602900997224117,6.03504501725839e-05,6.78939611115416,0.00679619230345762,0.792168359779953,0.792168359779954,0.986859475746318,0.986859475746316,0.999762436506877,0.999762436506877,0.0377768454572606,3.01711492751086e-05,NA,NA,NA,0.0365139239296725,NA,0.0623080346297374,1.23773106662402e-05,0.0305425937553934,0.452247326523029,0.000241729957379574,0.000241729957379574,0.000241729957379574,0.000241729957379574,0.000241729957379574,0.000241729957379574
"7",100,10,2,0,0.1,1.1,3,0.21895,0.00135870701566692,0.118882475652468,0.00120083308739866,1.73488770545619,0.0175241182369312,1.98222990377117,1.98222990377117,1.51308606842622,1.51308606842622,0.980581205687114,0.980581205687114,0.0657011149629694,0.00184346690631839,NA,NA,NA,0.043064105005063,NA,0.105882712644405,0.000383838088137939,0.060250551086222,0.136402136074671,0.000225289453439663,0.000225289453439663,0.000225289453439663,0.000225289453439663,0.000225289453439663,0.000225289453439663
"8",500,10,2,0,0.1,1.1,3,0.2221,0.000883828138901062,0.0967719970754577,0.000193931857866649,3.52595316604286,0.00706603840890353,0.973575550056819,0.973575550056818,1.02633187849191,1.02633187849191,1.03960648902797,1.03960648902797,0.0214644185041855,0.000165712583357925,NA,NA,NA,0.0299311595685646,NA,0.110181114362051,0.000312785986229294,0.0475676245792427,0.443325183971538,0.000368005847810891,0.00036800584781089,0.000368005847810891,0.00036800584781089,0.000368005847810891,0.00036800584781089
"9",1000,10,2,0,0.1,1.1,3,0.2442,0.000392932438529599,0.189658162482253,0.000189848010492746,14.816925139649,0.0148317568965455,0.983402126212072,0.983402126212075,0.892978788373355,0.892978788373355,0.991045420911882,0.991045420911882,0.0218658628328756,0.000113628078762455,NA,NA,NA,0.191791027790328,NA,0.186092258753204,0.000170719704884342,0.403461803302674,0.392650145396136,0.000174899219705401,0.000174899219705401,0.000174899219705401,0.000174899219705401,0.000174899219705401,0.000174899219705401
"10",100,1,5,0,0.1,1.1,3,0.058,0.082570368759783,117.449660733025,1.1863602094245,108.804754881828,1.09903792809928,1.14016872702656,1.14016872702656,1.262267872363,1.262267872363,1.25116792294734,1.25116792294734,2.66868671647865,0.0215812733096278,0.875466341360544,0.54304277658813,0.607782161452539,2.63502582592441,0.407021563379901,2.13654605765316,0.0211342609253375,2.24468223452326,NA,0.0473213217114446,0.0473213217114447,0.0217820294912582,0.0217820294912582,0.0219445082761308,0.0219445082761308
