"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","OPT_roc_Loo_multi","OPT_roc_Loo","OPT_roc_KNN_log_N_P","OPT_roc_KNN_log_N_P_diff_net","OPT_roc_KNN_5_sqrt_N","OPT_roc_KNN_5_sqrt_N_diff_net","OPT_roc_optics_k_mean","OPT_roc_optics_k_mean_diff_net","OPT_roc_optics_k_5","OPT_roc_optics_k_5_diff_net","OPT_roc_optics_sqrt_n","OPT_roc_optics_sqrt_n_diff_net","OPT_roc_OTS","OPT_roc_OTS_diff_net","OPT_roc_OTS_cosine","OPT_roc_OTS_diff_net_cosine","OPT_roc_OTS_cosine_med","OPT_roc_OTS_euc_med","OPT_roc_OTS_glob_avg_OTS","OPT_roc_spoutlier","OPT_roc_spoutlier_diff_net","OPT_roc_spoutlier_diff_net_norm","OPT_DPCC","OPT_roc_cook_max","OPT_roc_cook_max_diff_net","OPT_roc_cook_avg","OPT_roc_cook_avg_diff_net","OPT_roc_cook_med","OPT_roc_cook_med_diff_net"
"1",100,1,2,0,0.1,1.1,3,0.3367,0.00196218007189612,0.25433513535279,0.0025690417712403,2.4251524030273,0.0244964889194677,0.712945686376928,0.712945686376929,1.12579990060922,1.12579990060922,1.07871879342862,1.07871879342862,0.0393561288865174,0.000894205158920763,NA,NA,NA,0.0736321559517879,NA,0.0635726002905573,0.000471047782575472,0.0580078753514711,0.194722641312531,0.00050224391072543,0.000502243910725429,0.00050224391072543,0.000502243910725429,0.00050224391072543,0.000502243910725429
"2",500,1,2,0,0.1,1.1,3,0.1161,0.00196351125087043,0.342259161108949,0.000685890102422742,17.2117078080664,0.0344924004169667,0.974100057564443,0.974100057564443,1.02895616743406,1.02895616743406,1.07976242996665,1.07976242996665,0.164663311958625,0.000297042799603091,NA,NA,NA,0.183455345684884,NA,0.117315266394199,0.000332915256092484,0.232513653823904,0.980143319564522,0.0020287172603567,0.0020287172603567,0.0020287172603567,0.0020287172603567,0.0020287172603567,0.0020287172603567
"3",1000,1,2,0,0.1,1.1,3,0.30185,0.000248982799909746,0.0324888543898571,3.25213757656227e-05,4.30913753288905,0.00431345098387292,0.977936047682919,0.977936047682916,1.04682334184061,1.04682334184061,0.987522741304335,0.987522741304335,0.0506502258276314,6.67783149373951e-05,NA,NA,NA,0.0321480820498184,NA,0.0127320957008672,3.63763504139664e-05,0.0368511811284712,0.248998276523712,6.02394471942089e-05,6.0239447194209e-05,6.02394471942089e-05,6.0239447194209e-05,6.02394471942089e-05,6.0239447194209e-05
"4",100,5,2,0,0.1,1.1,3,0.27545,0.00317152138788572,0.118572565786371,0.00119770268471082,1.08254693381581,0.010934817513291,0.838808835139523,0.838808835139524,1.01823663646403,1.01823663646403,1.12915806986258,1.12915806986258,0.0374054045501762,0.000310875750870764,NA,NA,NA,0.0236388418062944,NA,0.0366344252875,0.0011430080525378,0.0394207805209728,0.318514671748187,0.0013517128760927,0.0013517128760927,0.0013517128760927,0.0013517128760927,0.0013517128760927,0.0013517128760927
"5",500,5,2,0,0.1,1.1,3,0.1982,0.00103557422001222,0.133312541933733,0.000267159402672811,6.7658999816736,0.0135589177989451,1.26898346425839,1.26898346425839,1.17827738144643,1.17827738144643,1.02042029528898,1.02042029528898,0.0563889058758164,6.82920676767056e-05,NA,NA,NA,0.0431800382595998,NA,0.0734279724922917,0.000181849635935533,0.0546903922075504,0.517485839379143,0.000553256823900684,0.000553256823900684,0.000553256823900684,0.000553256823900684,0.000553256823900684,0.000553256823900684
"6",1000,5,2,0,0.1,1.1,3,0.22285,0.000514918030553514,0.111757925817342,0.000111869795612955,10.1445844757002,0.0101547392149151,1.04200390012238,1.04200390012239,1.18902709073042,1.18902709073042,0.985821019924575,0.985821019924575,0.0673810566787689,3.57896393832387e-05,NA,NA,NA,0.0398941148422393,NA,0.279757979440928,2.75655918332771e-05,0.0221521332202796,0.515208534888376,0.000382475255633692,0.000382475255633692,0.000382475255633692,0.000382475255633692,0.000382475255633692,0.000382475255633692
"7",100,10,2,0,0.1,1.1,3,0.28125,0.0015328870670834,0.311796486692799,0.00314945946154342,1.8969642515149,0.019161255065807,0.824733149136983,0.824733149136983,0.996313844229219,0.996313844229219,0.963702281809145,0.963702281809145,0.0253888995832326,0.00034900482200689,NA,NA,NA,0.0287370531673031,NA,0.0264752762276967,0.000244968825038952,0.054371689058547,0.153826091254589,0.000542656748779324,0.000542656748779325,0.000542656748779324,0.000542656748779325,0.000542656748779324,0.000542656748779325
"8",500,10,2,0,0.1,1.1,3,0.26765,0.000635271267636515,0.0845500648830809,0.000169439007781725,4.87611759932685,0.00977177875616603,1.14365218537776,1.14365218537776,1.04907290188768,1.04907290188768,1.08092942787497,1.08092942787497,0.0805598859867477,7.10329455125063e-05,NA,NA,NA,0.0744189879309654,NA,0.021612330277242,2.75041779517708e-05,0.0380886052471724,0.317868877944131,0.00015873425923447,0.00015873425923447,0.00015873425923447,0.00015873425923447,0.00015873425923447,0.00015873425923447
"9",1000,10,2,0,0.1,1.1,3,0.18795,0.000660871024387794,0.0826436295220204,8.27263558778983e-05,8.91114944308582,0.00892006951259841,0.895847086758689,0.89584708675869,1.02691090212144,1.02691090212144,0.994400771515609,0.994400771515609,0.0268601656535565,3.37432085888954e-05,NA,NA,NA,0.0890198438870373,NA,0.0660725848128059,9.1920205459145e-05,0.0222821492488919,0.661644057753488,0.000607037209468291,0.00060703720946829,0.000607037209468291,0.00060703720946829,0.000607037209468291,0.00060703720946829
"10",100,1,5,0,0.1,1.1,3,0.07995,0.0440471077317867,84.9278604272743,0.857857176033074,78.5557621871213,0.79349254734466,1.05980775614187,1.05980775614187,1.18971932328205,1.18971932328205,1.1305190411329,1.1305190411329,1.87162879915098,0.0171726501239454,0.674721781396788,0.670346888949694,0.688517139244334,1.55277434053366,0.318494873488085,1.53354543909569,0.0178838504162491,1.87731067942257,NA,0.00923864590796287,0.00923864590796287,0.00239836372470741,0.00239836372470741,0.000758634225388137,0.000758634225388136
